"Projeto:","Avaliador 1:","Avaliador 2:"
"investigacao do mecanismo de acao espasmolitica do flavonoide 3,6 dimetil eter galetina, isolado de piptadenia stipulaceae (benth.) ducke (fabaceae), em ileo de cobaia","RAFAEL DE ALMEIDA TRAVASSOS","FABIANA DE ANDRADE CAVALCANTE"
"medicao de velocidade de vento utilizando transdutores ultrassonicos baseado em tecnicas de fusao de dados","FRANCISCO ANTONIO BELO","RUY ALBERTO PISANI ALTAFIM"
"processos atencionais e assertividade","VALDINEY VELOSO GOUVEIA","CARLA ALEXANDRA DA SILVA MOITA MINERVINO"
"avaliacao imunoistoquimica das galectinas -1, -3 e -7 em queilite actinica","FRANKLIN DELANO SOARES FORTE","FABIO CORREIA SAMPAIO"
"morfologia do sistema reprodutor feminino e morfometria de foliculos ovarianos em preguica comum (bradypus variegatus)","FABIANA SATAKE","JOSE NELIO DE SOUSA SALES"
"processo de cuidar ao adulto portador de doencas transmissiveis e nao transmissiveis","GREICY KELLY GOUVEIA DIAS BITTENCOURT","JORDANA DE ALMEIDA NOGUEIRA"
"biocatalise assimetrica mediada por celulas integras de microrganismos e enzimas isoladas","DAYSE DAS NEVES MOREIRA","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS"
"obtencao de queijo de coalho com substituicao parcial de sais e reduzido teor de gordura","PRISCILLA DINIZ LIMA DA SILVA BERNARDINO","ESMERALDA PARANHOS DOS SANTOS"
"substituicao de cloreto de sodio por cloreto de potassio: influencia sobre os parametros de qualidade do pao frances","ISMAEL IVAN ROCKENBACH","RAQUEL LIMA SALGADO"
"elaboracao de bebida lactea fermentada com graos de kefir a base de leite de cabra, avaliacao de suas caracteristicas fisico-quimicas e aceitabilidade","MARTA SUELY MADRUGA","EDVALDO MESQUITA BELTRAO FILHO"
"processo de cuidar em feridas hansenicas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas.","LENILDE DUARTE DE SA","JOSE DA PAZ OLIVEIRA ALVARENGA"
"a formacao de terapeutas comunitarios: um nova caminho para a saude mental","ANTONIA OLIVEIRA SILVA","JOAO EUCLIDES FERNANDES BRAGA"
"analise do nivel de instrucao dos estudantes universitarios acerca de financas pessoais","BRIVALDO ANDRE MARINHO DA SILVA","RITA DE CASSIA DE FARIA PEREIRA"
"dinamica folicular final em ovelhas da raca morada nova submetida a diferentes protocolos de sincronizacao da ovulacao","FABIANA SATAKE","SILDIVANE VALCACIA SILVA"
"hibridizacao do esmalte dental com resina fluida: perfil histologico de desidratacao do esmalte normal","GLAUCIA MARQUES FREITAS RIBEIRO","ANA MARIA BARROS CHAVES PEREIRA"
"citotoxicidade de compostos naturais ou sinteticos sobre culturas de celulas normais e tumorais","VALDIR DE ANDRADE BRAGA","ROBERTO SASSI"
"remocao de poluentes de aguas e efluentes utilizando carvao ativado como material adsorvente e processos de oxidacao avancada","VIVIAN STUMPF MADEIRA","NATALY ALBUQUERQUE DOS SANTOS"
"sindrome de fragilidade em pacientes idosos internados no hospital universitario de joao pessoa, pb","HAROLDO DE LUCENA BEZERRA","ARISTIDES MEDEIROS LEITE"
"suape, o novo desenvolvimentismo e os conflitos do trabalho","GEOVANIA DA SILVA TOSCANO","OSICLEIDE DE LIMA BEZERRA"
"padronizacao do diagnostico patologico das doencas virais do sistema nervoso em mamiferos domesticos e silvestres no estado da paraiba","FABIANA SATAKE","IVIA CARMEM TALIERI"
"avaliacao da adubacao organica e potassica em plantas exoticas (nim e noni)","ADEMAR PEREIRA DE OLIVEIRA","CARLOS HENRIQUE DE BRITO"
"uso de nanoparticulas de prata no desenvolvimento de composito restaurador com efeito antimicrobiano para uso odontologico","HUGO LEMES CARLO","GERMANA COELI DE FARIAS SALES"
"potencialidades para criacao de unidade de conservacao de protecao integral na serra de santa catarina, paraiba","RITA BALTAZAR DE LIMA","FELIPE WARTCHOW"
"vulnerabilidade fisica em idosos domiciliados na area adscrita do distrito sanitario iii do municipio de joao pessoa-pb","SOLANGE FATIMA GERALDO DA COSTA","MARIA DE LOURDES DE FARIAS PONTES"
"turismo como pratica em joao pessoa: um estudo sociomaterial","SELMA DOS PASSOS BRAGA","ANA VALERIA ENDRES"
"estudos geneticos em staphylococcus aureus. subprojeto: alguns aspectos geneticos da resistencia a drogas em staphylococcus aureus","ANA EMILIA BARROS E SILVA","MAILSON MONTEIRO DO REGO"
"controle biologico da lagarta-do-cartucho do milho spodoptera frugiperda (lepidoptera: noctuidae) com ceraeochrysa cubana (neuroptera: chrysopidae)","NIVANIA PEREIRA DA COSTA","LEONARDO DANTAS DA SILVA"
"diversidade filogenetica e funcional da avifauna em florestas de altitude no nordeste do brasil","GUSTAVO HENRIQUE CALAZANS VIEIRA","ALEXANDRE RAMLO TORRE PALMA"
"desenvolvimento de adesivos ecologicamente corretos para madeira a partir de polimeros renovaveis produzidos pela sintese do glicerol com acidos (di/tri)carboxilicos","JULIANO ELVIS OLIVEIRA","RAMON ALVES TORQUATO"
"flutuacoes eletronicas em sinais medicos","ELADIO JOSE DE GOES BRENNAND","THIERRY MARCELINO PASSERAT DE SILANS"
"estudo do potencial fitoterapico do oleo essencial ocimum basilicum (manjericao)","ANA MARIA GONDIM VALENCA","BIANCA MARQUES SANTIAGO"
"informatica como instrumento educacional e de comunicacao","LILIANE DOS SANTOS MACHADO","CLAUIRTON DE ALBUQUERQUE SIEBRA"
"intervencao fonoaudiologica na paralisia facial periferica","LEONARDO WANDERLEY LOPES","ANNA ALICE FIGUEIREDO DE ALMEIDA"
"efeitos do treinamento de forca com restricao de fluxo sanguineo sobre padroes imunologicos, carga viral e qualidade de vida de individuos infectados pelo virus hiv","MARIA DO SOCORRO BRASILEIRO SANTOS","ALEXANDRE SERGIO SILVA"
"construcao de uma escala de preconceito em relacao ao doente mental","MARIA DE FATIMA PEREIRA ALBERTO","ANA ALAYDE WERBA SALDANHA PICHELLI"
"elaboracao de diluentes quimicamente definidos para criopreservacao de semen animal","DANILA BARREIRO CAMPOS","JOSE NELIO DE SOUSA SALES"
"aminoacidos limitantes em dietas para codornas japonesas na fase de postura","JOSE JORDAO FILHO","LARA TOLEDO HENRIQUES"
"previsao de cheias de curto e longo prazo em bacias de climas semi-arido e tropical","TARCISO CABRAL DA SILVA","CRISTIANO DAS NEVES ALMEIDA"
"prevalencia de infeccoes parasitarias em pacientes em uso de imunossupressores e/ou imunobiologicos anti-tnf","LUCIO ROBERTO CANCADO CASTELLANO","MARILIA GABRIELA DOS SANTOS CAVALCANTI"
"a condicao do idoso hospitalizado: discurso de profissionais da saude, estudantes, pacientes e acompanhantes de idosos","LENILMA BENTO DE ARAUJO MENESES","SERGIO RIBEIRO DOS SANTOS"
"inducao in vitro de florescimento, frutificacao e formacao de sementes em pimenteira ornamental (capsicum annuum l.)","ANA EMILIA BARROS E SILVA","ELEONIDAS MOURA LIMA"
"perfil da atencao em saude bucal ofertada as criancas e aos adolescentes na rede publica de saude de joao pessoa (pb)","ANA KARINA MACIEL DE ANDRADE","GERALDO SAVIO ALMEIDA HOLANDA"
"metodologias alternativas: utilizacao de ultrassom e micro-ondas em sintese organica","BRUNO FREITAS LIRA","MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS"
"prevencao e formas de tratamentos das ulceras por pressao praticadas pela equipe de enfermagem","LENILMA BENTO DE ARAUJO MENESES","MARTA MIRIAM LOPES COSTA CUNHA"
"o conhecimento filosofico e o conceito nietzschiano de decadencia","ROBSON COSTA CORDEIRO","DEYVE REDYSON MELO DOS SANTOS"
"o efeito de acaros na disponibilidade de nectar e no sucesso reprodutivo de flores ornitofilas em area de mata atlantica de joao pessoa, sudeste do brasil","FREDERICO GUSTAVO RODRIGUES FRANCA","JOEL SILVA DOS SANTOS"
"desenvolvimento de materiais ceramicos especiais com funcao isolante","HEBER SIVINI FERREIRA","DANIEL ARAUJO DE MACEDO"
"influencia da composicao quimica, mineralogica e variaveis do processo na cor de produtos ceramicos de base argilosa","JULIANO ELVIS OLIVEIRA","LISZANDRA FERNANDA ARAUJO CAMPOS"
"avaliacao toxicologica de nutraceuticos em roedores","LEONIA MARIA BATISTA","FABIO SANTOS DE SOUZA"
"implantacao e caracterizacao do diagnostico molecular da dengue em joao pessoa - paraiba","JORIA VIANA GUERREIRO","SIMONE HELENA DOS SANTOS OLIVEIRA"
"descricao e analise critica dos documentos saussurianos","MARIA DE FATIMA BARBOSA DE MESQUITA BATISTA","MARIA REGINA BARACUHY LEITE"
"hidroterapia no equilibrio de idosos","NEIDE MARIA GOMES DE LUCENA","ANTONIO GERALDO CIDRAO DE CARVALHO"
"analise das potencialidades industriais das materias-primas alimenticias regionais","HAISSA ROBERTA CARDARELLI","ELISANDRA COSTA ALMEIDA"
"monitoramento do ambiente informacional do grupo de pesquisa informacao, aprendizagem e conhecimento por meio da adocao de ferramentas de inteligencia organizacional","GUILHERME ATAIDE DIAS","MARCKSON ROBERTO FERREIRA DE SOUSA"
"sistema de automacao para sistemas de potencia utilizando redes hibridas de comunicacao para aplicacoes em smart grids","FRANCISCO ANTONIO BELO","CLEONILSON PROTASIO DE SOUZA"
"frequencia de sindrome metabolica e diabetes mellitus tipo 2 em mulheres com diabetes gestacao: relacao com fatores de risco para diabetes e consumo alimentar","EDUARDO SERGIO SOARES SOUSA","CLAUDIO SERGIO MEDEIROS PAIVA"
"os ciganos no estado da paraiba","JOAO MARTINHO BRAGA DE MENDONCA","PEDRO FRANCISCO GUEDES DO NASCIMENTO"
"esforcos para a conservacao dos recifes costeiros da paraiba: gestao compartilhada a partir de dados sobre doencas e branqueamento em corais e impactos ambientais em areas selecionadas","ROBERTO SASSI","GEORGE EMMANUEL CAVALCANTI DE MIRANDA"
"direitos do paciente com hiv/aids no ambito da saude: revisao integrativa da literatura no campo da bioetica","CIZONE MARIA CARNEIRO ACIOLY","IOLANDA BESERRA DA COSTA SANTOS"
"estudo de residuos em composicoes de argilas para uso em ceramica branca","SANDRO MARDEN TORRES","AMELIA SEVERINO FERREIRA E SANTOS"
"perfil de infeccoes oportunistas em pacientes portadores de hiv","LUCIO ROBERTO CANCADO CASTELLANO","CALIANDRA MARIA BEZERRA LUNA LIMA"
"a arquitetura neocolonial na paisagem urbana de joao pessoa no seculo xx","MARCIO COTRIM CUNHA","JOVANKA BARACUHY CAVALCANTI"
"a morfologia da arquitetura franciscana no nordeste do brasil colonial","MARCIO COTRIM CUNHA","JOVANKA BARACUHY CAVALCANTI"
"percepcao da imagem corporal, da saude e qualidade de vida de criancas e adolescentes obesos e um olhar sobre as barreiras e oportunidades para a pratica de atividade fisica","ALEXANDRE SERGIO SILVA","JOSE CAZUZA DE FARIAS JUNIOR"
"efeitos do treinamento de forca e endurance no ambiente aquatico sobre os niveis de composicao corporal e desempenho fisico","MARIA DO SOCORRO BRASILEIRO SANTOS","PIERRE NORMANDO GOMES-DA-SILVA"
"monitoramento da recuperacao ambiental do antigo lixao do roger","ELISANGELA MARIA RODRIGUES ROCHA","GILSON BARBOSA ATHAYDE JUNIOR"
"a efetividade da terapia em grupo para pacientes com disturbios de voz","LUCIANA PIMENTEL FERNANDES DE MELO","GIORVAN ANDERSON DOS SANTOS ALVES"
"validacao dos criterios classificatorios para o lupus eritematoso sistemico no estado da paraiba","MAURUS MARQUES DE ALMEIDA HOLANDA","RILVA LOPES DE SOUSA MUNOZ"
"fotocatalise solar no tratamento de efluentes recalcitrantes","JOACIO DE ARAUJO MORAIS JUNIOR","CARMEM LUCIA MOREIRA GADELHA"
"o processo de escolarizacao da provincia da paraiba do norte: aulas de instrucao primaria. 1835- 1849","ROSE MARY DE SOUZA ARAUJO","PAULO ROBERTO PALHANO SILVA"
"avaliacao da qualidade microbiologica e atividade antimicrobiana do mel e propolis de abelha urucu (melipona scutellaris)","THOMPSON LOPES DE OLIVEIRA","ADNA CRISTINA BARBOSA DE SOUSA"
"aderencia in vitro de bacterias bucais a superficie de diferentes tipos de piercings linguais","WILTON WILNEY NASCIMENTO PADILHA","ANDRESSA FEITOSA BEZERRA DE OLIVEIRA"
"desenvolvimento de nanocompositos de pla com nanowhiskers de celulose","HEBER SIVINI FERREIRA","DANIEL ARAUJO DE MACEDO"
"acoes de prevencao do hiv e de promocao a saude no contexto da aids pela estrategia saude da familia em joao pessoa-pb","MARIA BERNADETE DE SOUSA COSTA","MARIA DJAIR DIAS"
"processo de cuidar em feridas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas","JANA LUIZA TOSCANO MENDES DE OLIVEIRA","KATY LISIAS GONDIM DIAS"
"dinamica costeira do litoral do municipio de cabedelo, paraiba","LINCOLN ELOI DE ARAUJO","RICHARDE MARQUES DA SILVA"
"desenvolvimento de um ambiente para simulacao distribuida de sistemas embarcados complexos e heterogeneos","MARCIA VERONICA COSTA MIRANDA","TIAGO MARITAN UGULINO DE ARAUJO"
"movimento brasileiro de alfabetizacao - mobral: entre memoria, historia e esquecimento (1967-1985)","RODRIGO SILVA ROSAL DE ARAJO","MARIA LUCIA DA SILVA NUNES"
"transporte de materia organica e nutrientes associados ao escoamento superficial e deslocamento vertical de agua e material em suspensao em areas de agricultura familiar","THIAGO JARDELINO DIAS","GUTTEMBERG DA SILVA SILVINO"
"mapeamento e classificacao da estrutura do rio jaguaribe /pb baseado em indices hidromorfologicos e de qualidade da agua","ELISANGELA MARIA RODRIGUES ROCHA","CARMEM LUCIA MOREIRA GADELHA"
"avaliacao das caracteristicas da carcaca e qualidade da carne de novilhos sindi submetidos a niveis de restricao alimentar","JOSE JORDAO FILHO","SAFIRA VALENCA BISPO"
"analise de vibracoes induzidas por pedestres em passarelas","ANGELO VIEIRA MENDONCA","ANDRE JACOMEL TORII"
"diversidade da ictiofauna marinha costeira do nordeste brasileiro","ALFREDO RICARDO LANGUTH BONINO","MARTIN LINDSEY CHRISTOFFERSEN"
"identificacao de padroes de uso de especies nativas em areas de caatinga: um enfoque etnobiologico e conservacionista","EVELISE MARCIA LOCATELLI DE SOUZA","LAIS ANGELICA DE ANDRADE PINHEIRO BORGES"
"estudo dos efeitos dos fatores vasculares e da sintomatologia ansioso-depressiva sobre as queixas subjetivas de memoria prospectiva e retrospectiva em uma amostra de idosos residentes na comunidade","SANDRA SOUZA DA SILVA","ZAETH AGUIAR DO NASCIMENTO"
"os cortadores de cana e a abusiva exploracao da mais-valia absoluta","ALINE MARIA BATISTA MACHADO","BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA"
"a funcionalidade e o acesso aos servicos de reabilitacao de sujeitos pos-avc: um estudo longitudinal","NEIDE MARIA GOMES DE LUCENA","MARCIA MARIA MONT' ALVERNE DE BARROS"
"ensaios toxicologicos pre-clinicos de produtos sinteticos em roedores","MARIANNA VIEIRA SOBRAL CASTELLO BRANCO","HILZETH DE LUNA FREIRE PESSOA"
"analise filmica e recepcao critica de audiovisuais","CLAUDIO CARDOSO DE PAIVA","MARCEL VIEIRA BARRETO SILVA"
"prospeccao de compostos sinteticos com atividade reversora da resistencia a multiplas drogas","ELADIO JOSE DE GOES BRENNAND","RITA DE CASSIA DA SILVEIRA E SA"
"residuo do processamento do abacaxi em programa de restricao alimentar qualitativa para suinos","JOSE JORDAO FILHO","FERNANDO GUILHERME PERAZZO COSTA"
"comportamento sedentario, qualidade de vida e fatores de risco para doenca arterial coronariana em adolescentes","AMILTON DA CRUZ SANTOS","IRAQUITAN DE OLIVEIRA CAMINHA"
"biopolitica e rejuvenescimento: tensoes entre vida e morte nas praticas de cuidar de si em foucault","MARIA DO SOCORRO CIRILO DE SOUSA","JOSE CAZUZA DE FARIAS JUNIOR"
"relacao dieta, carie e erosao dentaria em um levantamento alimentar de base populacional: estudo longitudinal de coorte","CLAUDIA HELENA SOARES DE MORAIS FREITAS","MARIZE RAQUEL DINIZ DA ROSA"
"atividade antifungica de fitoconstituintes contra fungos leveduriformes de importancia hospitalar.","PATRICIA PINHEIRO FERNANDES VIEIRA","ADNA CRISTINA BARBOSA DE SOUSA"
"deteccao de enteropatogenos causadores de diarreias neonatais em caprinos do estado da paraiba.","VALESKA SHELDA PESSOA DE MELO","RAFAEL FELIPE DA COSTA VIEIRA"
"analise de estruturas assistidos por computador","ROBERTO LEAL PIMENTEL","ANDRE JACOMEL TORII"
"validacao de um banco de expressoes faciais brasileiro em criancas e idosos.","LIANA CLEBIA DE MORAIS PORDEUS","FABIOLA DA SILVA ALBUQUERQUE"
"sugestoes de adubacao para o estado da paraiba (2a aproximacao)","SILVANDA DE MELO SILVA","MANOEL BANDEIRA DE ALBUQUERQUE"
"relacao dos sinais e sintomas da disfuncao temporomandibular e grau de ansiedade em adultos jovens","LEONARDO WANDERLEY LOPES","ANNA ALICE FIGUEIREDO DE ALMEIDA"
"analise faunistica e flutuacao populacional de moscas-das-frutas (diptera: tephritidae) em pomares domesticos na micro-regiao do brejo paraibano","JACINTO DE LUNA BATISTA","MARCOS BARROS DE MEDEIROS"
"estudo do potencial energetico e caracterizacao fisico-quimica de residuos solidos industriais e urbanos.","NATALY ALBUQUERQUE DOS SANTOS","GENARO ZENAIDE CLERICUZI"
"investigacoes acerca da metafisica agostiniana","BARTOLOMEU LEITE DA SILVA","ROBSON COSTA CORDEIRO"
"saude, familia e politicas publicas: uma investigacao da persistencia do discurso sobre a relacao entre pobreza e natalidade","MARIA PATRICIA LOPES GOLDFARB","LUCIANA DE OLIVEIRA CHIANCA"
"o composto 2-nitrato-1,3-dibutoxipropano (ndbp) induz tolerancia? investigando a eficacia terapeutica de um novo doador de oxido nitrico no sistema cardiovascular de ratos","ROBSON CAVALCANTE VERAS","ISLANIA GISELIA ALBUQUERQUE GONCALVES"
"valor nutricional da palma forrageira (opuntia ficus-indica mill) na alimentacao de femeas suinas em fase de reproducao","SEVERINO GONZAGA NETO","LEONARDO AUGUSTO FONSECA PASCOAL"
"generos academicos e os diferentes modos de construcao do conhecimento","LAURENIA SOUTO SALES","JOAO WANDEMBERG GONCALVES MACIEL"
"jogo e cognicao: percepcao, atencao, memoria","MARIA DO SOCORRO BRASILEIRO SANTOS","ALEXANDRE SERGIO SILVA"
"estudo da viabilidade do uso de energia solar fotovoltaica em uma residencia urbana","YURI PERCY MOLINA RODRIGUEZ","HELON DAVID DE MACEDO BRAZ"
"efeito do bsse no calculo da constante de velocidade bimolecular obtida a partir da teoria do estado de transicao","CLAUDIA MENEGAZ ZACCARON CRISTIANO","GERD BRUNO DA ROCHA"
"efeitos do estresse termico embrionario e diferentes niveis de treonina sobre a resposta de pintos label rouge desafiados com salmonella enteritidis","ADRIANA EVANGELISTA RODRIGUES","GEORGE RODRIGO BELTRAO DA CRUZ"
"moina minuta e uma especie chave em ecossistemas aquaticos do semi-arido?","GUSTAVO HENRIQUE CALAZANS VIEIRA","ALEXANDRE RAMLO TORRE PALMA"
"analises e acionamento de maquinas eletricas polifasicas","SIMPLICIO ARNAUD DA SILVA","JUAN MOISES MAURICIO VILLANUEVA"
"historia natural, distribuicao espacial, estado de conservacao e determinacao de fatores que estruturam taxocenoses de serpentes na paraiba","RONALDO BASTOS FRANCINI FILHO","JOEL SILVA DOS SANTOS"
"complexos luminescentes de ions lantanideos trivalentes ligados covalentemente na superficie da silica-gel","IEDA MARIA GARCIA DOS SANTOS","MARIA GARDENNIA DA FONSECA"
"a contribuicao da queiloscopia para a odontologia forense","CLAUDIA HELENA SOARES DE MORAIS FREITAS","BIANCA MARQUES SANTIAGO"
"estudo do perfil termografico dos isquiostibiais durante o alongamento estatico","MARIA CLAUDIA GATTO CARDIA","MARIA DE FATIMA ALCANTARA BARROS"
"controversas acerca da arbitragem em propriedade intelectual: um estudo comparado entre estados unidos e uniao europeia.","DANIEL DE CAMPOS ANTIQUERA","PEDRO FELIU RIBEIRO"
"qualidade e estabilidade de polpas de frutas produzidas pela agricultura familiar","JOAO ANDRADE DA SILVA","CARLOS ROBERTO MARINHO DA SILVA FILHO"
"analise da influencia de polimorfismos da mthfr paralelamente a variaveis ambientais como fator de risco para fendas orofaciais em criancas de ate 2 anos atendidas em servico de referencia do estado da paraiba","CLAYTON ZAMBELI OLIVEIRA","PLINIO DELA TORRE"
"reacoes de diels - alder catalisadas por acidos de lewis","CLAUDIA MENEGAZ ZACCARON CRISTIANO","LUCINA ROCHA SOUSA"
"avaliacao experimental de oleos vegetais sobre o metabolismo de ratos wistar","MARIA LUCIA DA CONCEICAO","RITA DE CASSIA RAMOS DO EGYPTO QUEIROGA"
"estudo prospectivo anatomopatologico de lesoes bucais de usuarios atendidos em centros de especialidades odontologicas do municipio de joao pessoa","ANDRESSA FEITOSA BEZERRA DE OLIVEIRA","FABIO CORREIA SAMPAIO"
"diversidade das macroalgas marinhas nos ambientes recifais costeiros no estado da paraiba: composicao, colonizacao e sucessao das especies como base para indicacao do estado e conservacao e modelos de recuperacao ambiental.","ROBERTO SASSI","CRISTIANE FRANCISCA DA COSTA SASSI"
"educacao para o consumo e pesquisa transformativa do consumidor","BRIVALDO ANDRE MARINHO DA SILVA","NELSIO RODRIGUES DE ABREU"
"espirulina na dieta de ovinos f1 dorper x santa ines em confinamento","ADRIANA EVANGELISTA RODRIGUES","PATRICIA EMILIA NAVES GIVISIEZ"
"estudos normativos de desenvolvimento do perdao por idade e sexo.","NELSON TORRO ALVES","CLEONICE PEREIRA DOS SANTOS CAMINO"
"uso de habitat e densidade de aves ameacadas de extincao e sob pressao cinegetica em uma area de caatinga prioritaria para conservacao","RICARDO DE SOUZA ROSA","MARTIN LINDSEY CHRISTOFFERSEN"
"potencial de utilizacao dos fitoconstituintes carvacrol e 1,8-cineol como sanitizantes em hortalicas minimamente processadas","MARIA DA CONCEICAO RODRIGUES GONCALVES","MARIA JOSE DE CARVALHO COSTA"
"novos compostos de al3+, ga3+ e ions lantanideos como camadas emissoras em dispositivos moleculares conversores de luz: sintese, caracterizacao, estrutura e aplicacao","WAGNER DE MENDONCA FAUSTINO","MARIA GARDENNIA DA FONSECA"
"avaliacao do efeito antioxidante e anti-hipertensivo de fracoes de composicao quimica definida oriundas de produtos vitivinicolas da regiao do vale do sao francisco","ENEAS RICARDO DE MORAIS GOMES","ULRICH VASCONCELOS DA ROCHA GOMES"
"compensador de tensao serie trifasico","ROMERO LEANDRO ANDERSEN","NADY ROCHA"
"sustentabilidade socioambiental, hermeneutica constitucional e direitos fundamentais","EDUARDO FERNANDES DE ARAUJO","SVEN PETERKE"
"investigacao das atividades espasmolitica e antidiarreica de derivados sinteticos obtidos do lapachol, uma naftoquinona isolada de tabebuia avelanedae (bignoniaceae) em ileo de cobaia","RAFAEL DE ALMEIDA TRAVASSOS","DIEGO NUNES GUEDES"
"ansiedade em enfermeiros da atencao basica em um distrito sanitario no municipio de joao pessoa - pb","MARIA DE OLIVEIRA FERREIRA FILHA","ANTONIA OLIVEIRA SILVA"
"estudo da populacao de regenerantes de anadenanthera colubrina (vell.) fabaceae no bioma mata atlantica no municipio de bananeiras-pb","ELAINE BERNINI","LENYNEVES DUARTE ALVINO DE ARAUJO"
"avaliacao da resistencia de uniao de sistemas adesivos a dentina - influencia da umidade.","CACILDA CHAVES MORAIS DE LIMA","GERMANA COELI DE FARIAS SALES"
"consciencia fonologica: diversos olhares em varios contextos","RENATA MONTEIRO GARCIA","MELYSSA KELLYANE CAVALCANTI GALDINO"
"enunciacao, dialogismo e subjetividade em generos discursivos orais","SANDRA HELENA GURGEL DANTAS DE MEDEIROS","HERMANO DE FRANCA RODRIGUES"
"perfil epidemiologico dos tumores de hipofise e analise do tratamento atraves da realizacao de cirurgia endoscopica tranesfenoidal na cidade de joao pessoa","VIRGINIA ANGELA MENEZES DE LUCENA E CARVALHO","HAROLDO DE LUCENA BEZERRA"
"seca e (in)seguranca alimentar no semiarido: impactos sobre o direito humano a alimentacao","GUSTAVO RABAY GUERRA","ROBSON ANTAO DE MEDEIROS"
"avaliacao de estrategias de transferencia de modelos de classificacao multivariada para a identificacao de adulteracao em amostras de alcool etilico hidratado combustivel.","SHERLAN GUIMARAES LEMOS","WALLACE DUARTE FRAGOSO"
"analise da concordancia entre as formulas de cockcroft-gault, mdrd simplificada, ckd-epi e bis-1 na avaliacao da funcao renal em pacientes hipertensos e diabeticos de um hospital-escola","MARCO ANTONIO DE VIVO BARROS","JOSE SOARES DO NASCIMENTO"
"bioprospeccao de produtos naturais obtidos de solanum paludosum moric. e lippia microphylla cham. com potencial atividade vasorrelaxante em corpo cavernoso e arteria pulmonar de rato","ROBSON CAVALCANTE VERAS","DIEGO NUNES GUEDES"
"eleicoes, partidos politicos e o sistema politico do chile","ROBERTO MENDOZA","GILVANILDO OLIVEIRA AVELINO"
"desempenho e avaliacao de carcaca de caprinos srd com dietas a base de diferentes variedades de palma forrageira","TEREZINHA DOMICIANO DANTAS MARTINS","FERNANDO GUILHERME PERAZZO COSTA"
"fisica de sinais biologicos","JOEL BATISTA DA FONSECA NETO","RODRIGO RONELLI DUARTE DE ANDRADE"
"atividade antifungica da cloramina t frente a cepas de candida envolvidas com infeccoes da cavidade bucal","CLAUDIA BATISTA MELO","MARIA GERMANA GALVAO CORREIA LIMA"
"classificacao de sementes de mamona","EVANEIDE FERREIRA SILVA","CLAUDIA DE OLIVEIRA CUNHA"
"retardo do diagnostico da tuberculose em pessoas idosas: acoes de enfermeiros assistenciais em joao pessoa - pb","MARIA DJAIR DIAS","MARIA JULIA GUIMARAES OLIVEIRA SOARES"
"cenas de praticas docentes com foco nas politicas publicas para a alfabetizacao","MARIANNE CARVALHO BEZERRA CAVALCANTE","JOSE FERRARI NETO"
"instalacao de bacias experimental e representativa no semiarido - beer","ADRIANO ROLIM DA PAZ","TARCISO CABRAL DA SILVA"
"analise multivariada de dados eletroquimicos: aplicacoes com biocombustiveis","MARIO CESAR UGULINO DE ARAUJO","MARCIO JOSE COELHO DE PONTES"
"trabalho, desenvolvimento e politicas publicas","JAMES BATISTA VIEIRA","VANDERSON GONCALVES CARNEIRO"
"analise geoestatistica de dados e aplicacoes","HEMILIO FERNANDES CAMPOS COELHO","LUIZ MEDEIROS DE ARAUJO LIMA FILHO"
"estudo e implementacao de avaliadores de treinamento para simuladores baseados em realidade virtual","HEMILIO FERNANDES CAMPOS COELHO","LUIZ MEDEIROS DE ARAUJO LIMA FILHO"
"politicas publicas para o desenvolvimento da agropecuaria paraibana","ANA CANDIDA FERREIRA VIEIRA","MAGNO VAMBERTO BATISTA DA SILVA"
"extracao de nanowhiskers de especies nativas do semi-arido do nordeste do brasil: caroa (neoglaziovia variegata)","MAX ROCHA QUIRINO","POLLYANA CAETANO RIBEIRO FERNANDES"
"utilizacao de semicondutores magneticos diluidos para aplicacao em spintronica","ELITON SOUTO DE MEDEIROS","POLLYANA CAETANO RIBEIRO FERNANDES"
"conhecimento prudente para uma vida decente: uma analise da tematica etnico-racial na producao de conhecimento em ciencia da informacao/biblioteconomia/arquivologia - periodo-2000-2013","SILVANA CARNEIRO MACIEL","MARIA DE FATIMA PEREIRA ALBERTO"
"a influencia da reserva biologica (rebio-guaribas) na amenizacao climatica e condicoes de conforto termico ambiental de areas urbanas localizadas no litoral norte do estado da paraiba","RONALDO BASTOS FRANCINI FILHO","NADJACLEIA VILAR ALMEIDA"
"utilizacao de tecnicas de computacao em paralelo em placas de video para otimizacao e confiabilidade estrutural","ROBERTO LEAL PIMENTEL","ANGELO VIEIRA MENDONCA"
"ensaio clinico randomizado comparando a eficacia de um dentifricio contendo particulas clareadoras no tratamento da descoloracao dentaria: avaliacao de seis meses","MARIA DE OLIVEIRA ALVES CAVALCANTI","ANDRE ULISSES DANTAS BATISTA"
"utilizacao da ferramenta analise de sustentabilidade de analise de ciclo de vida (ascv) para a avaliacao do programa de coleta seletiva na cidade de joao pessoa/pb - brasil.","ADRIANO ROLIM DA PAZ","GILSON BARBOSA ATHAYDE JUNIOR"
