"Projeto:","Avaliador 1:","Avaliador 2:"
"avaliacao fisica, quimica, nutricional e experimental do oleo de coco (cocos nucifera l.) virgem e extra virgem em ratos sedentarios e treinados","MARCIANE MAGNANI","GRACIELE DA SILVA CAMPELO BORGES"
"acao de pesquisa - ensino - extensao no laboratorio de tecnologias intelectuais - lti","EDVALDO CARVALHO ALVES","JOANA COELI RIBEIRO GARCIA"
"danca em 2d: dimensoes analiticas e criativas","MAURA LUCIA FERNANDES PENNA","JOSE HENRIQUE PADOVANI VELLOSO"
"caracterizacao morfologica e genetica de fusarium spp. isolados de sementes de angico (anadanthera columbrina (vell.) e associados ao tombamento de plantulas","ADAILSON PEREIRA DE SOUZA","LEONARDO DANTAS DA SILVA"
"deteccao e caracterizacao molecular de micoplasmas hemotropicos (mycoplasma ovis e candidatus mycoplasma haemovis) em caprinos do estado da paraiba","VALESKA SHELDA PESSOA DE MELO","RICARDO ROMAO GUERRA"
"exigencia de fosforo para pos-larvas de tilapia nilotica (oreochromis niloticus) durante a reversao sexual","PATRICIA MIRELLA DA SILVA SCARDUA","IAN PORTO GURGEL DO AMARAL"
"cuidados paliativos e modalidades terapeuticas: pesquisa bibliometrica no campo da enfermagem","MARIA BERNADETE DE SOUSA COSTA","MARIA DAS GRACAS MELO FERNANDES"
"analisando a interacao entre usuarios em redes sociais online","ED PORTO BEZERRA","ALISSON VASCONCELOS DE BRITO"
"correlacao entre exames coprologicos, testes sorologicos e exames hematologicos e sua associacao entre a resposta imunologica por th1, th2 e treg em idosos na regiao metropolitana de joao pessoa/pb","GLAUCIA MARQUES FREITAS RIBEIRO","MARILIA GABRIELA DOS SANTOS CAVALCANTI"
"lobbying na emissao das international financial reporting standards","WENNER GLAUCIO LOPES LUCENA","MARCIA REIS MACHADO"
"estimativas de consumos de energia eletrica no cchsa","JORGE GABRIEL GOMES DE SOUZA RAMOS","MARCOS CESAR SANTOS ORIA"
"caracteristicas estruturais de florestas de mangue associadas a uma planicie hipersalina no estuario do rio miriri, estado da paraiba","VENIA CAMELO DE SOUZA","ADRIANE PEREIRA WANDENESS"
