Projeto:,Avaliador 1:,Avaliador 2:
estudo computacional de aerogeradores de eixo vertical para implantacao em meio urbano,NATASHA CORREIA QUEIROZ LINO,MARCIO RODRIGO DE ARAUJO SOUZA
sintese de novos heterociclicos com potencialidades biologicas - perspectiva de novos farmacos,MARCUS TULLIUS SCOTTI,MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS
doenca renal oculta em pacientes hospitalizados: coorte observacional em enfermarias de clinica medica,JOSE SOARES DO NASCIMENTO,FLAVIA CRISTINA FERNANDES PIMENTA
"sintese de novos hibridos moleculares da 4,7-cloroquinolina com adutos de morita-baylis-hillman (ambh) com potencial atividade antiprotozoaria",NEIDE QUEIROZ,ANTONIA LUCIA DE SOUZA
a influencia da informacao assimetrica na avaliacao de empresas,ADRIANA FERNANDES DE VASCONCELOS,WENNER GLAUCIO LOPES LUCENA
analise da variabilidade climatica de microrregioes heterogeneas do estado da paraiba,MARIA CRISTINA BASILIO CRISPIM DA SILVA,DENISE DIAS DA CRUZ
novas tecnologias baseadas em realidade virtual e jogos para apoio a educacao,ED PORTO BEZERRA,FERNANDO MENEZES MATOS
biocatalise mediada por celulas integras de micro-organismos vivos e enzimas isoladas imobilizados,PETRONIO FILGUEIRAS DE ATHAYDE FILHO,SAVIO MOITA PINHEIRO
"regimes ecodinamicos, indices de vegetacao, metricas da paisagem e diversidade da vegetacao para o estudo do processo de desertificacao na bacia do alto paraiba - paraiba/brasil",MARIA DE FATIMA FERREIRA RODRIGUES,AMANDA CHRISTINNE NASCIMENTO MARQUES
estudo do efeito neuroprotetor de terpenos sobre parametros neuroquimicos de estresse oxidativo e neuroinflamacao em animais submetidos a convulsao induzida por ptz,ROBSON CAVALCANTE VERAS,KATY LISIAS GONDIM DIAS
"a utilizacao da imagem no processo de analise, formacao e transformacao do trabalho",THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,TATIANA DE LUCENA TORRES
estudo dos modelos e de parametros para paineis fotovoltaicos,FABRICIO BRAGA SOARES DE CARVALHO,YURI PERCY MOLINA RODRIGUEZ
disponibilizacao de cartografia organologica da cultura brasileira,MARIA EMILIA SARDELICH,MAURA LUCIA FERNANDES PENNA
compressao de imagens baseada em quantizacao vetorial e transformada discreta do cosseno,FABRICIO BRAGA SOARES DE CARVALHO,YURI PERCY MOLINA RODRIGUEZ
interacao de atomos com superficies e campos externos.,LAERCIO LOSANO,JORGE GABRIEL GOMES DE SOUZA RAMOS
morfologia dos orgaos genitais masculinos do punare (thrichomys laurentius),DANILO TANCLER STIPP,RICARDO BARBOSA DE LUCENA
algoritmos eficientes para resolucao de problemas de otimizacao nas areas de gestao da producao e logistica,LUIZ MOREIRA COELHO JUNIOR,PAULO ROTELA JUNIOR
investigacao microbiologica em aves migratorias (charadriiformes) durante o periodo de invernada no brasil.,DANILA BARREIRO CAMPOS,OLIVEIRO CAETANO DE FREITAS NETO
qualidade da dieta e fatores de risco para o desenvolvimento de doencas cardiovasculares e metabolicas em adolescentes da rede publica de ensino em joao pessoa -paraiba: um estudo longitudinal,JOSE LUIZ DE BRITO ALVES,MARIA DA CONCEICAO RODRIGUES GONCALVES
"processo de cuidar em feridas hansenicas: educacao em saude, medidas preventivas e novas tecnologias terapeuticas.",SELENE CORDEIRO VASCONCELOS,LENILDE DUARTE DE SA
a contribuicao da teoria dialogica para o ensino de linguas,LUCIANE ALVES SANTOS,ANTONIETA BURITI DE SOUZA HOSOKAWA
estudo fitoquimico e avaliacao da atividade citotoxica de especies vegetais da flora paraibana,DAMIAO PERGENTINO DE SOUSA,JOSEAN FECHINE TAVARES
analise da evolucao do lupus eritematoso sistemico em mulheres com idade  reprodutiva,IAPONIRA CORTEZ COSTA DE OLIVEIRA,EDUARDO SERGIO SOARES SOUSA
"economia de aplicacao e reducao de perdas hidricas em solos, cultivados com maracujazeiro amarelo, irrigados com agua de salinidade crescente",RAUNIRA DA COSTA ARAUJO,NAYSA FLAVIA FERREIRA DO NASCIMENTO
"campos escalares e aplicacoes em branas, cosmologia e otica",PAULO SERGIO RODRIGUES DA SILVA,DIONISIO BAZEIA FILHO
estudo quimico biomonitorado de plantas medicinais da paraiba: ecossistema caatinga,LEONIA MARIA BATISTA,ISLANIA GISELIA ALBUQUERQUE GONCALVES
caos quantico e universalidade em nanoestruturas,VALDIR BARBOSA BEZERRA,MIGUEL LOURENCO NETO
teoria de matrizes aleatorias: caos quantico e universalidade em nanoestruturas,VALDIR BARBOSA BEZERRA,MIGUEL LOURENCO NETO
impacto de uma capacitacao com profissionais de saude da atencao basica sobre as praticas de aconselhamento para atividade fisica para usuarios do sus: um ensaio comunitario randomizado,MARIA DO SOCORRO CIRILO DE SOUSA,ALEXANDRE SERGIO SILVA
diversidade cultural e religiosa brasileira: superando preconceitos atraves de praticas pedagogicas com brinquedos populares na educacao basica,FERNANDA LEMOS,DILAINE SOARES SAMPAIO
"prospeccao, isolamento, identificacao e caracterizacao de bacterias lacticas e seu uso como inoculante na ensilagem de palma forrageira",ALINE MENDES RIBEIRO,DIVAN SOARES DA SILVA
"mudancas climaticas e a elevacao da temperatura: implicacoes no conforto, na saude e no desempenho de alunos em ambientes de ensino inteligentes (news ict) em areas das regioes brasileiras",MARIA CHRISTINE WERBA SALDANHA,MONICA CARVALHO
impacto dos diferentes pontos corte sobre as estimativas de tempo de pratica de atividade fisica e comportamento sedentario mensurados por acelerometria em adolescentes de 10 a 14 anos de idade,PIERRE NORMANDO GOMES-DA-SILVA,CLARICE MARIA DE LUCENA MARTINS
intervencao fonoaudiologica na sindrome de down sob a perspectiva da linguagem,HANNALICE GOTTSCHALCK CAVALCANTI,ANA CARLA ESTELLITA VOGELEY
"estados de humor, niveis hormonais e variantes alelicas dos genes actn3 no desempenho de atletas em voleibol de praia",JOSE CAZUZA DE FARIAS JUNIOR,LUCIANO MEIRELES DE PONTES
valorizacao do cultivo de spondias: estrategias para o desenvolvimento de protocolo de propagacao assexuada de germoplasmas,SILVANDA DE MELO SILVA,WALTER ESFRAIN PEREIRA
praticas de cuidado no sistema formal e informal de saude,PATRICIA SERPA DE SOUZA BATISTA,FERNANDA MARIA CHIANCA DA SILVA
prospeccao de bacterias acido lacticas isoladas de fruta tropicais com potencial para aplicacao em sistemas de biopreservacao,MARTA SUELY MADRUGA,JULIANA ESCARIAO DA NOBREGA
"avaliacao dos parametros fisiologicos, hematologicos e bioquimicos em cavalos quarto de milha em treinamento",DANILO TANCLER STIPP,RICARDO BARBOSA DE LUCENA
estudos culturais (ec) e estudos surdos (es): algumas aproximacoes i - cultura,EDINEIDE JEZINI MESQUITA,ERENILDO JOAO CARLOS
extracao acelerada de nanocristais de celulose (ncc) por processo sonoquimico,RENATE MARIA RAMOS WELLEN,RICARDO PEIXOTO SUASSUNA DUTRA
avaliacao do perfil funcional das alteracoes das maos de pacientes portadores de esclerose sistemica atendidos em ambulatorio de reumatologia de um hopital universitario,FLAVIA CRISTINA FERNANDES PIMENTA,BRUNO HENRIQUE ANDRADE GALVAO
participacao social na era pt: um balanco (2003-2016),RODRIGO FREIRE DE CARVALHO E SILVA,ALINE CONTTI CASTRO
direito de propriedade versus funcao social: entre as promessas formais e as demandas por concretizacao,PEDRO PARINI MARQUES DE LIMA,ANA PAULA CORREIA DE ALBUQUERQUE DA COSTA
competencia tradutoria e formacao de tradutores: o desenvolvimento das subcompetencias especificas do tradutor,JOAO WANDEMBERG GONCALVES MACIEL,FABIO ALEXANDRE SILVA BEZERRA
manejo da fertirrigacao sobre os aspectos ecofisiologicos e de producao das culturas agricolas,RAUNIRA DA COSTA ARAUJO,SILVANDA DE MELO SILVA
manejo da fertirrigacao e da irrigacao com agua salina sobre os aspectos ecofisiologicos e de producao das culturas agricolas,REJANE MARIA NUNES MENDONCA,EDNA URSULINO ALVES
valor nutricional da casca da manga (mangifera indica l.) na alimentacao de suinos em terminacao,JOSE HUMBERTO VILAR DA SILVA,ARIOSVALDO NUNES DE MEDEIROS
"caracterizacao histologica das camadas do tegumento de juvenis do camarao de agua doce macrobrachium rosenbergii, de acordo com os estagios do ciclo de muda",PAULO SERGIO DE AZEVEDO,GEORGE RODRIGO BELTRAO DA CRUZ
postura corporal e dor na coluna: percepcao dos usuarios da escola de posturas da ufpb,JOSE JAMACY DE ALMEIDA FERREIRA,ELIANE ARAUJO DE OLIVEIRA
caracterizacao de materiais eletricos inteligentes,SIMPLICIO ARNAUD DA SILVA,JOSE MAURICIO RAMOS DE SOUZA NETO
"nivel de intangibilidade, desempenho economico-financeiro e valor de mercado: um estudo em companhias abertas listadas na bm&fbovespa",ADRIANA FERNANDES DE VASCONCELOS,LUIZ FELIPE DE ARAUJO PONTES GIRAO
desenvolvimento de materiais inteligentes com base em moleculas organicas para aplicacoes em dispositivos eletro-oticos,MARCUS TULLIUS SCOTTI,JULIANA ALVES VALE
jogo e cognicao: a percepcao dos objetos e ambiente na educacao infantil,FILIPE FERREIRA DA COSTA,MARIA DO SOCORRO CIRILO DE SOUSA
diversidade e ecologia de cnidarios medusozoa da paraiba,ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,ALEXANDRE VASCONCELLOS
processamento e caracterizacoes de compositos polimericos com reforcos particulados renovaveis,KELLY CRISTIANE GOMES DA SILVA,MAX ROCHA QUIRINO
dinamica da paisagem das sub-bacias dos rios velho e acu e sua influencia na area de protecao ambiental (apa) da barra do rio mamanguape no litoral norte da paraiba,LINCOLN ELOI DE ARAUJO,DANIEL OLIVEIRA MESQUITA
a poetica intermidiatica do roteiro seriado,IZABEL FRANCA DE LIMA,MARCOS ANTONIO NICOLAU
pesquisa e desenvolvimento de um sistema de reconhecimento biometrico por impressao digital,VIVEK NIGAM,AYLA DEBORA DANTAS DE SOUZA REBOUCAS
"campos escalares e aplicacoes em branas, cosmologia",PAULO SERGIO RODRIGUES DA SILVA,DIONISIO BAZEIA FILHO
o perdao e a empatia - ii: refinamento do tamanho amostral,THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,THIAGO ANTONIO AVELLAR DE AQUINO
simulacao molecular de compostos de coordenacao contendo ions lantanideos uteis para imagem por ressonancia magnetica (mri),SILMAR ANDRADE DO MONTE,WAGNER DE MENDONCA FAUSTINO
biologia de doru luteipes (dermaptera: forficulidae) sobre diatraea saccharalis (lepidoptera: crambidae),JACINTO DE LUNA BATISTA,MARCIA APARECIDA CEZAR
estudos culturais (ec) e estudos surdos (es): algumas aproximacoes ii - identidade/diferenca,JEANE FELIX DA SILVA,MARIA EULINA PESSOA DE CARVALHO
"selecao de fungos entomopatogenicos isolados de um sistema agroflorestal, para uso no controle biologico de insetos-praga na agricultura e na pecuaria do nordeste brasileiro",ULRICH VASCONCELOS DA ROCHA GOMES,ANA FLAVIA SANTOS COELHO
formacao profissional em saude no contexto da atencao integral a saude masculina: um estudo a partir dos ppcs,SELENE CORDEIRO VASCONCELOS,MARIA DJAIR DIAS
estudos sobre a formulacao  neo-newtoniana da gravitacao e da cosmologia,JORGE GABRIEL GOMES DE SOUZA RAMOS,MIGUEL LOURENCO NETO
papiloma virus humano: estudo de marcadores imunologicos e sua importancia no prognostico para carcinoma de colo uterino,SANDRA RODRIGUES MASCARENHAS,MARCIA REGINA PIUVEZAM
idadismo e representacao social do trabalhador mais velho no contexto laboral formal e informal,THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,ANISIO JOSE DA SILVA ARAUJO
eficiencia energetica na arquitetura,JOSE AUGUSTO RIBEIRO DA SILVEIRA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
direito e saude: pessoas com deficiencia,MARIA LUIZA PEREIRA DE ALENCAR MAYER FEITOSA,JAILSON JOSE GOMES DA ROCHA
analise de vibracoes induzidas por pedestres em passarelas,GIVANILDO ALVES DE AZEREDO,ANGELO VIEIRA MENDONCA
governancas das aguas e conflitos pelo uso dos recursos hidricos na bacia do paraiba,DORALICE SATYRO MAIA,MARIA GRISEL LONGO
"analise do caso ""acoes afirmativas na universidade"" no stf",ENOQUE FEITOSA SOBREIRA FILHO,ANA PAULA CORREIA DE ALBUQUERQUE DA COSTA
busca de biometabolitos e avaliacao da atividade antioxidante de especies de fabaceae e rutaceae da flora paraibana,VICENTE CARLOS DE OLIVEIRA COSTA,MARCELO SOBRAL DA SILVA
a morfologia da arquitetura franciscana no nordeste do brasil colonial,JOSE AUGUSTO RIBEIRO DA SILVEIRA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
estimacao robusta para a equacao gravitacional e suas aplicacoes economicas,SINEZIO FERNANDES MAIA,PAULO AGUIAR DO MONTE
"quebras estruturais, assimetrias nas preferencias e nao linearidades na funcao de reacao do banco central do brasil",MARCIA BATISTA DA FONSECA,SINEZIO FERNANDES MAIA
uso de geotecnologias  como ferramentas de apoio a gestao dos recursos naturais,ELIZANILDA RAMALHO DO REGO,ALEXANDRE EDUARDO DE ARAUJO
analise de series temporais hidrologicas usando a transformada wavelet,RICARDO ALMEIDA DE MELO,HEBER PIMENTEL GOMES
questoes socioambientais e direitos humanos na consolidacao da justica social,MARCILIO TOSCANO FRANCA FILHO,JAILTON MACENA DE ARAUJO
producao da heterojuncao fe2o3/tio2  e uso na fotocatalise solar,SHARLINE FLORENTINO DE MELO SANTOS,JOSILENE DE ASSIS CAVALCANTE
sistemas espaciais de suporte a decisao e a morbi-mortalidade na paraiba.,RODRIGO BERNARDO DA SILVA,HEMILIO FERNANDES CAMPOS COELHO
sistemas de gerencia de infraestrutura urbana,GIVANILDO ALVES DE AZEREDO,CELSO AUGUSTO GUIMARAES SANTOS
caminhos e desafios da promocao da saude e da seguranca alimentar e nutricional na atencao basica: analise de uma experiencia em educacao popular,GERALDO EDUARDO GUEDES DE BRITO,KATIA SUELY QUEIROZ SILVA RIBEIRO
condicoes cronicas na infancia: cuidado na atencao primaria a saude,ALTAMIRA PEREIRA DA SILVA REICHERT,KENYA DE LIMA SILVA
"atividade anti-inflamatoria da milonina, alcaloide de cissampelos sympodialis eichl. (menispermaceae) em um modelo experimental de inflamacao aguda",DANIELE IDALINO JANEBRO XIMENES,JOELMA RODRIGUES DE SOUZA
"desenvolvimento de um fotometro de chama portatil usando um soldador a gas, nebulizacao ultrassonica e deteccao por smartphone e analise de imagens digitais",ILDA ANTONIETA SALATA TOSCANO,MARIA BETANIA HERMENEGILDO DOS SANTOS
controle alternativo da antracnose em feijao caupi (vigna unguiculata l.),CARLOS HENRIQUE DE BRITO,MARCOS BARROS DE MEDEIROS
utilizacao das ferramentas de geoprocessamento no manejo de bacias hidrograficas e na gestao dos recursos naturais,RAPHAEL MOREIRA BEIRIGO,ALEXANDRE EDUARDO DE ARAUJO
subconjunto terminologico da classificacao internacional para a pratica de enfermeiras para a mulher idosa no contexto de vulnerabilidades ao hiv/aids,MARIA ELIANE MOREIRA FREIRE,JORDANA DE ALMEIDA NOGUEIRA
a abordagem sobre gestao da informacao e do conhecimento nos curriculos dos cursos de biblioteconomia,HENRY PONCIO CRUZ DE OLIVEIRA,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA
posicao social e preferencia alimentar de ovelhas morada nova em confinamento,JULIANA SILVA DE OLIVEIRA,ALBERICIO PEREIRA DE ANDRADE
efeito de diferentes solucoes higienizadoras de protese dentaria na dureza shore a e rugosidade superficial de materiais reembasadores macios.,SABRINA GARCIA DE AQUINO,ROSANGELA MARQUES DUARTE
a logica dominante dos servicos herbalife,RENATA FRANCISCO BALDANZA,ANIELSON BARBOSA DA SILVA
utilizacao de metodos objetivos e comportamentais para avaliacao de pacientes com zumbido,ISABELLE CAHINO DELGADO,LUCIANE SPINELLI DE FIGUEIREDO PESSOA
territorio e politica no brasil: ataque legislativo aos direitos dos povos do campo,DORALICE SATYRO MAIA,ANIERES BARBOSA DA SILVA
doencas de palma forrageira gigante (opuntia ficus-indica) no semiarido paraibano,JACINTO DE LUNA BATISTA,MARCIA APARECIDA CEZAR
fotocatalise heterogenea aplicada na descoloracao/degradacao de azo-corantes,FAUSTHON FRED DA SILVA,ARY DA SILVA MAIA
biologia de euborellia annulipes (dermaptera: forficulidae) sobre spodoptera frugiperda (lepidoptera: noctuidae),LUCIANA CORDEIRO DO NASCIMENTO,MARCIA APARECIDA CEZAR
efeito da neuromodulacao associada ao treinamento de marcha em esteira em individuos com doenca de parkinson,JOSE JAMACY DE ALMEIDA FERREIRA,STENIO MELO LINS DA COSTA
"identificacao, caracterizacao e pontencial de uso de rizobios de fabaceas nativas da caatinga",ALINE MENDES RIBEIRO,DIVAN SOARES DA SILVA
analise da soroprevalencia viral em pacientes com linfoma em um servico de referencia de joao pessoa-pb.,ALESSANDRA SOUSA BRAZ CALDAS DE ANDRADE,LEINA YUKARI ETTO
sistema de geracao eolica com conexao a rede monofasica utilizando maquina de inducao de rotor bobinado,ISAAC SOARES DE FREITAS,CAMILA SEIBEL GEHRKE
biodiversidade e funcionamento de ecossistemas aquaticos rasos: analise dos estados de equilibrio e aplicacao para conservacao.,DANIELLE GOMES DE SOUZA,LENYNEVES DUARTE ALVINO DE ARAUJO
aplicacao de pulsos eletricos em queijo coalho com substituicao parcial de nacl por kcl,CARLOS ROBERTO MARINHO DA SILVA FILHO,LAESIO PEREIRA MARTINS
potencial toxico da planta caesalpinia pyramidalis como causa de abortos e malformacoes em caprinos e ratos,RICARDO ROMAO GUERRA,DANILO TANCLER STIPP
efeito agudo de diferentes exercicios aerobicos com e sem restricao de fluxo sanguineo sobre o consumo de oxigenio e hemodinamica sanguinea em adultos saudaveis,FILIPE FERREIRA DA COSTA,ALEXANDRE SERGIO SILVA
avaliacao da toxicidade nao-clinica do extrato etanolico bruto e fracoes de sida rhombifolia l. em roedores,HEMERSON IURY FERREIRA MAGALHAES,LUCIANA LUCENA ARANHA DE MACEDO
o desafio da paz na america do sul: as respostas da oea e unasul frente a criminalidade organizada e o cenario de violencia endemica,AUGUSTO WAGNER MENEZES TEIXEIRA JUNIOR,TULIO SERGIO HENRIQUES FERREIRA
preferencia por assimetria e sentimento do investidor: um estudo do impacto nos retornos do primeiro dia de ipo no mercado acionario brasileiro,RENATA FRANCISCO BALDANZA,NELSIO RODRIGUES DE ABREU
remocao de cor de efluentes industriais utilizando processos de adsorcao e fotocatalise solar,FLAVIO LUIZ HONORATO DA SILVA,GENARO ZENAIDE CLERICUZI
aplicacao combinada de oleos essenciais e seus constituintes e tecnologias emergentes para conservacao de sucos de frutas,ELISANDRA COSTA ALMEIDA,NOADIA PRISCILA ARAUJO RODRIGUES
"efeito anti-inflamatorio do alcaloide curina, de chondodendron platyphyllum  a. st. hil (miers) (menispermaceae) em modelo experimental de lesao pulmonar aguda (lpa)",DANIELE IDALINO JANEBRO XIMENES,JOELMA RODRIGUES DE SOUZA
"avaliacao de websites de editoras universitarias das regioes sul, centro oeste e norte do brasil na perspectiva dos estudos de usabilidade, arquitetura da informacao e de e-commerce",EMEIDE NOBREGA DUARTE,HENRY PONCIO CRUZ DE OLIVEIRA
racismo no esporte,CARLOS EDUARDO PIMENTEL,MARIA DE FATIMA PEREIRA ALBERTO
adoecer e morrer na provincia da paraiba na segunda metade do oitocentos,TIAGO BERNARDON DE OLIVEIRA,SOLANGE PEREIRA DA ROCHA
poliploidizacao in vitro de nopalea cochenilifera salm dyck.,CRISTINA WIDE PISSETTI,SAVIO TORRES DE FARIAS
transferencia de energia e transferencia de carga em complexos de ions lantanideos,ELIZETE VENTURA DO MONTE,RAILTON BARBOSA DE ANDRADE
construcao e validacao de um instrumento de avaliacao existencial,THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA
"fisiologia, qualidade e potencial de mercado de cultivares de abacaxi tradicionais e introduzidas na paraiba produzidas sob manejo organico e convencional",LOURIVAL FERREIRA CAVALCANTE,DJAIL SANTOS
"desenvolvimento vegetativo e producao de bananeira, cultivar brs vitoria, cultivada no brejo paraibano",LOURIVAL FERREIRA CAVALCANTE,EDNA URSULINO ALVES
producao de mudas de luetzelburgia auriculata (allemao) ducke,LUIS FERNANDO MARQUES DOS SANTOS,EDILENE ARAUJO MONTEIRO
"viver e morrer no semiarido brasileiro: secularidade, avancos e desafios",ANA LUCIA DE ARAUJO LIMA COELHO,PABLO BRILHANTE DE SOUSA
estudo do clima urbano e sua relacao com o uso e cobertura do solo na regiao metropolitana de joao pessoa\pb: estudo de caso em bayeux\pb,RICHARDE MARQUES DA SILVA,CAMILA CUNICO
dietas suplementadas com minerais organicos em substituicao aos inorganicos para aves de producao,JULIANA SILVA DE OLIVEIRA,CARLA GISELLY DE SOUZA
"direitos humanos, ideias-forca e representacoes sociais  do cenario socio-politico brasileiro",SILVANA CARNEIRO MACIEL,ANA RAQUEL ROSAS TORRES
palma orelha de elefante mexicana (opuntia tuna l. mill) em substituicao ao feno de buffel (cenchrus ciliares l.) na alimentacao de caprinos e ovinos,TEREZINHA DOMICIANO DANTAS MARTINS,CARLA GISELLY DE SOUZA
vigilancia do desenvolvimento infantil: caminhos e perspectivas para a enfermagem,NEUSA COLLET,KENYA DE LIMA SILVA
"caracterizacao, variabilidade e selecao de genotipos de feijao-fava baseados em descritores uni e multivariados",BELISIA LUCIA MOREIRA TOSCANO DINIZ,REJANE MARIA NUNES MENDONCA
valor nutricional do residuo do processamento do caju (anacardium occidentele l.)  na alimentacao de suinos em terminacao,JOSE JORDAO FILHO,ARIOSVALDO NUNES DE MEDEIROS
perfil epidemiologico de criancas e adolescentes com doencas cronicas,MARTA MIRIAM LOPES COSTA CUNHA,MARIA DAS GRACAS MELO FERNANDES
"discurso, sujeito e poder: praticas de governamentalidade e movimentos de resistencia",AMANDA BATISTA BRAGA,ERIVALDO PEREIRA DO NASCIMENTO
desigualdades classicas em analise funcional e lineabilidade em espacos de funcoes continuas,UBERLANDIO BATISTA SEVERO,FAGNER DIAS ARARUNA
a politica de enfrentamento ao trabalho infantil no estado da paraiba. o que ha de novo no cenario?,CARLOS EDUARDO PIMENTEL,ANA RAQUEL ROSAS TORRES
"rede, apoio social e cuidado em saude na condicao cronica na infancia",NEUSA COLLET,ALTAMIRA PEREIRA DA SILVA REICHERT
poeticas da sexualidade: do enlace erotico a imaginacao pornografica,MARIA REGINA BARACUHY LEITE,ERIVALDO PEREIRA DO NASCIMENTO
arquitetura da informacao pervasiva e avaliacao de usabilidade em periodicos cientificos eletronicos,EMEIDE NOBREGA DUARTE,BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA
desenvolvimento de indicadores de desempenho hidroenergetico em redes de distribuicao de agua,GIVANILDO ALVES DE AZEREDO,CELSO AUGUSTO GUIMARAES SANTOS
"promocao a saude bucal em populacoes de alto risco social: estudo de baseline de carie, necessidade de tratamento e qualidade de vida em municipios da regiao litoranea da paraiba",ISABELLA LIMA ARRAIS RIBEIRO,ANA MARIA GONDIM VALENCA
projeto esagd estudos semantico-argumentativos e enunciativos na lingua e no discurso: marcas de (inter)subjetividade e de orientacao argumentativa,AMANDA BATISTA BRAGA,MARIA REGINA BARACUHY LEITE
ingresso e abandono/evasao de estudantes jovens e adultos  no ensino superior,EDINEIDE JEZINI MESQUITA,EDUARDO ANTONIO DE PONTES COSTA
avaliacao das politicas publicas de saude na prevencao do virus zika durante a gestacao,GILKA PAIVA OLIVEIRA COSTA,IAPONIRA CORTEZ COSTA DE OLIVEIRA
reminiscencias institucional da ufpb:  memorias de reitores (1955-2016),MARCKSON ROBERTO FERREIRA DE SOUSA,ELIANE BEZERRA PAIVA
desastres naturais associados a ocorrencia de chuvas intensas e extremas nos espacos urbanos da regiao nordeste do brasil,BARTOLOMEU ISRAEL DE SOUZA,PEDRO COSTA GUEDES VIANNA
avaliacao da reatividade contratil e relaxante de traqueia de cobaia nao asmatico e com asma cronica: efeito da suplementacao com um produto natural e de seis derivados sinteticos in vitro,MATHEUS MORAIS DE OLIVEIRA MONTEIRO,FABIANA DE ANDRADE CAVALCANTE
territorio e tecnificacao da agropecuaria na paraiba,MARIA DE FATIMA FERREIRA RODRIGUES,PEDRO COSTA GUEDES VIANNA
"avaliacao do cuidado em saude bucal nos pacientes pediatricos oncologicos assistidos em um hospital de referencia, na cidade de joao pessoa/pb  estudo longitudinal",THIAGO FARIAS ROCHA LIMA,ELIANE BATISTA DE MEDEIROS SERPA
adubacao nitrogenada no crescimento inicial da romazeira (punica granatum l),RISELANE DE LUCENA ALCANTARA BRUNO,DJAIL SANTOS
desenvolvimento racional de complexos de ions lantanideos como catalisadores multifuncionais,ELIZETE VENTURA DO MONTE,RAILTON BARBOSA DE ANDRADE
tratamento secundario de aguas e utilizando processos de oxidacao avancada.,FABIOLA DIAS DA SILVA CURBELO,RENNIO FELIX DE SENA
a formacao em fisioterapia para atuacao na atencao basica de saude,ELIANE ARAUJO DE OLIVEIRA,STENIO MELO LINS DA COSTA
potencial funcional do subproduto de acerola suplementado a ratas e filhotes alimentados com dieta ocidentalizada,JOSE LUIZ DE BRITO ALVES,EVANDRO LEITE DE SOUZA
estudos de simulacao molecular para a descoberta de novos farmacos que possam atuar como inibidores da ricina,SILMAR ANDRADE DO MONTE,RAILTON BARBOSA DE ANDRADE
interfaces da psicologia com a educacao: um estudo de levantamento em cursos de graduacao em psicologia,MIRIANE DA SILVA SANTOS BARBOZA,HENRIQUE JORGE SIMOES BEZERRA
carbonatacao supercritica de compositos cimenticios leves aplicados a tanques de gas natural liquefeito,ITAMARA FARIAS LEITE,RICARDO PEIXOTO SUASSUNA DUTRA
"biologia floral, dispersao e regeneracao natural de sideroxylon obtusifolium (roem. & schult.) t.d. penn. em uma regiao da caatinga paraibana",THIAGO JARDELINO DIAS,DJAIL SANTOS
"relacoes entre ideias de forca, atitude institucional e posicionamento sobre os direitos humanos",SILVANA CARNEIRO MACIEL,ANA ALAYDE WERBA SALDANHA PICHELLI
competencia emocional e desempenho em leitura,BERNARDINO FERNANDEZ CALVO,MELYSSA KELLYANE CAVALCANTI GALDINO
"estimativa de idade pelo indice de maturacao do 3o molar (cameriere et al., 2008) em radiografias panoramicas",HELOISA HELENA PINHO VELOSO,FABIO CORREIA SAMPAIO
metodos cineticos de calibracao de ordem superior na deteccao de contaminantes ambientais,WILLIAME FARIAS RIBEIRO,MARIO CESAR UGULINO DE ARAUJO
desenvolvimento de um metodo automatico empregando microrreatores em fluxo-batelada para o monitoramento de acido latico total em mosto e caldo de cana com deteccao por webcam,EDVAN CIRINO DA SILVA,MARCIO JOSE COELHO DE PONTES
curva de crescimento e deposicao de nutrientes e energia em coelhos,GEORGE RODRIGO BELTRAO DA CRUZ,CARLA APARECIDA SOARES SARAIVA
sorgo sacarino (sorghum bicolor l.): inoculacao com bacterias diazotroficas e promotores de crescimento sob os estresses abioticos,REINALDO FARIAS PAIVA DE LUCENA,ALEX DA SILVA BARBOSA
avaliacao da qualidade do sono e sua possivel relacao com o grau de severidade da disfuncao temporomandibular (dtm),FABIO LUIZ CUNHA DASSUNCAO,DAYANE FRANCO BARROS MANGUEIRA LEITE
desenvolvimento de metodos analiticos automaticos baseados  em nanoparticulas de carbono,LUCIANO FARIAS DE ALMEIDA,WALLACE DUARTE FRAGOSO
estudo da influencia do octapeptideo trv027 na expressao genica da enzima conversora de angiotensina 2 (eca 2) em animais normotensos e espontaneamente hipertensos,CRISTINA WIDE PISSETTI,MAILSON MONTEIRO DO REGO
"genero, sexualidade e diversidade nas escolas: uma reflexao - ideologia de genero - no cenario legislativo brasileiro",MARIA DO SOCORRO XAVIER BATISTA,ANA DORZIAT BARBOSA DE MELO
efeito da aplicacao de oleo vegetal e quitosana na pre e pos-colheita da goiaba paluma,BELISIA LUCIA MOREIRA TOSCANO DINIZ,THIAGO JARDELINO DIAS
inferencia sob planos amostrais de cadastro duplo,RODRIGO BERNARDO DA SILVA,RONEI MARCOS DE MORAES
