Projeto:,Avaliador 1:,Avaliador 2:
a interdisciplinaridade na formacao e no trabalho em saude,CLAUDIA HELENA SOARES DE MORAIS FREITAS,RICARDO DE SOUSA SOARES
incidencia de doencas infectocontagiosas e estado nutricional de mulheres detentas do sistema prisional de joao pessoa ? pb,ANA MARIA GONDIM VALENCA,RICARDO DE SOUSA SOARES
saude mental do professor: o consumo de psicotropicos em professores da ufpb,KATIA SUELY QUEIROZ SILVA RIBEIRO,JOAO EUCLIDES FERNANDES BRAGA
avaliacao da ansiedade em estudantes de enfermagem ao desenvolverem grupos terapeuticos em um centro de atencao psicossocial (caps),KATIA SUELY QUEIROZ SILVA RIBEIRO,JAQUELINE BRITO VIDAL BATISTA
alteracoes oftalmologicas em criancas de escolas publicas de joao pessoa (pb),CLAUDIA HELENA SOARES DE MORAIS FREITAS,RICARDO DE SOUSA SOARES
mudancas climaticas e seus impactos no nordeste brasileiro,VALERIA PEIXOTO BORGES,GUTTEMBERG DA SILVA SILVINO
elaboracao de diluentes quimicamente definidos para criopreservacao de semen animal,DEMETRIUS ANTONIO MACHADO DE ARAUJO,MARCIA HELENA PONTIERI
estudo molecular do relogio biologico da tilapia-do-nilo (oreochromis niloticus) e do peixe-zebra (danio rerio): efeitos no crescimento durante o cultivo,PATRICIA MIRELLA DA SILVA SCARDUA,ALDA LUCIA DE LIMA AMANCIO
suplementacao de ratos sedentarios e treinados com a biomassa da spirulina platensis como fator antioxidante,GRACIELE DA SILVA CAMPELO BORGES,NEIVA MARIA DE ALMEIDA
producao de mel no estado da paraiba: avaliacao da qualidade e identidade visando a classificacao do produto e exploracao da cadeia apicola do nordeste,JOAO PAULO DE SOUSA PRADO,NOADIA PRISCILA ARAUJO RODRIGUES
topicos em fisica de particulas e campos,EUGENIO RAMOS BEZERRA DE MELO,CARLOS ANTONIO DE SOUSA PIRES
efeito da suplementacao de multi-micronutrientes e acidos graxos omega-3 microencapsulados em criancas escolares.,MARCIANE MAGNANI,NEIVA MARIA DE ALMEIDA
efeito do oleo essencial de oregano (origanum vulgare l.) e do carvacrol na formacao de biofilme de staphylococcus aureus isolados de unidades de alimentacao e nutricao,JOAO ANDRADE DA SILVA,SOLANGE DE SOUSA
prospeccao de bacterias acido lacticas bacteriocinogenicas isoladas de frutas tropicais para emprego na bioconservacao de sucos de fruta,HAISSA ROBERTA CARDARELLI,NOADIA PRISCILA ARAUJO RODRIGUES
elaboracao de biscoitos com farinha de inhame: uma alternativa para celiacos,CAROLINA LIMA CAVALCANTI DE ALBUQUERQUE,RICARDO TARGINO MOREIRA
aplicacao de antioxidantes naturais do residuo da vinificacao em substituicao a antioxidantes sinteticos em alimentos,RICARDO TARGINO MOREIRA,PRISCILLA DINIZ LIMA DA SILVA BERNARDINO
oleo funcional de urucum - hipocolesterolemico natural,ISMAEL IVAN ROCKENBACH,RICARDO TARGINO MOREIRA
uso da carne ovina de descarte para produto marinado submetida a diferentes tipos de coccao,CAROLINA LIMA CAVALCANTI DE ALBUQUERQUE,MARCIA ROSEANE TARGINO DE OLIVEIRA
estabilidade da manteiga da terra durante o armazenamento,ISMAEL IVAN ROCKENBACH,CARLOS ROBERTO MARINHO DA SILVA FILHO
impacto de tecnologias de encapsulacao na atividade de lipases,GRACIELE DA SILVA CAMPELO BORGES,ELISANDRA COSTA ALMEIDA
a dignidade humana em seus multiplos usos jurisprudenciais,ENOQUE FEITOSA SOBREIRA FILHO,GISCARD FARIAS AGRA
"fisica dos neutrinos, materia escura e massa do higgs em extensoes do modelo padrao supersimetrico minimo",PAULO SERGIO RODRIGUES DA SILVA,EUGENIO RAMOS BEZERRA DE MELO
analise critica acerca da tensao entre os direitos humanos limitados as garantias formais e as demandas por sua concretizacao,NARBAL DE MARSILLAC FONTES,GISCARD FARIAS AGRA
uma proposta de analise retorica da dogmatica juridica como tecnologia moderna de neutralizacao do dissenso no ambito da teoria dos direitos humanos,ADRIANA DIAS VIEIRA,EDUARDO RAMALHO RABENHORST
"organizacao criminosa, grupo terrorista ou, simplesmente, movimento social?",BELINDA PEREIRA DA CUNHA,EDUARDO FERNANDES DE ARAUJO
aspectos juridicos do mundo da arte,EDUARDO RAMALHO RABENHORST,EDUARDO FERNANDES DE ARAUJO
as novas dimensoes do direito a privacidade,MARIA CREUSA DE ARAUJO BORGES,FLAVIANNE FERNANDA BITENCOURT NOBREGA
"meio ambiente, trabalho e sustentabilidade na construcao dos direitos fundamentais",MARCILIO TOSCANO FRANCA FILHO,EDUARDO FERNANDES DE ARAUJO
seca e (in)seguranca alimentar no semiarido: impactos sobre o direito humano a alimentacao,JOSE ERNESTO PIMENTEL FILHO,ROBSON ANTAO DE MEDEIROS
as audiencias publicas no supremo tribunal federal e a possibilidade de uma sociedade aberta dos interpretes da constituicao,BELINDA PEREIRA DA CUNHA,FLAVIANNE FERNANDA BITENCOURT NOBREGA
ativismo juridico e justica transnacional,JOSE ERNESTO PIMENTEL FILHO,ROBSON ANTAO DE MEDEIROS
o processo legislativo federal em leis de protecao a mulher: interpretacao historica e analitica,GUSTAVO RABAY GUERRA,ROBSON ANTAO DE MEDEIROS
"campos escalares e aplicacoes em branas, cosmologia e otica",PAULO SERGIO RODRIGUES DA SILVA,DIONISIO BAZEIA FILHO
cadeirantes: acessibilidade das pessoas com deficiencia fisica,MARIA LUIZA PEREIRA DE ALENCAR MAYER FEITOSA,HUGO BELARMINO DE MORAIS
"producao cientifica acerca do assedio moral no campo das ciencias da saude, sociais e humanas: um estudo bibliometrico",MARIA LUIZA PEREIRA DE ALENCAR MAYER FEITOSA,JOSE ERNESTO PIMENTEL FILHO
analise paradigmatica de estudos sobre novas formas organizacionais publicados nas duas ultimas decadas (1995 a 2014),NELSIO RODRIGUES DE ABREU,FABIO WALTER
telefones celulares e capital social: conexoes possiveis e implicacoes no cotidiano das organizacoes,NELSIO RODRIGUES DE ABREU,FABIO WALTER
redes sociais online e o consumo: um estudo exploratorio e netnografico do comportamento do consumidor,RENATA FRANCISCO BALDANZA,RAISSA DALIA PAULINO
os mecanismos de governanca colaborativa das politicas publicas,ORLEANS SILVA MARTINS,JOSE MANCINELLI LEDO DO NASCIMENTO
a representacao social do consumo na base da piramide brasileira,JAMES BATISTA VIEIRA,ALDO LEONARDO CUNHA CALLADO
mensurando a sustentabilidade empresarial em agroindustrias,KELLEN DA SILVA COELHO,MARIA ANGELUCE SOARES PERONICO BARBOTIN
qualidade da informacao e oferta publica inicial nas companhias abertas brasileiras,ORLEANS SILVA MARTINS,EDILSON PAULO
historiando a educacao profissional na paraiba: um estudo sobre o ensino de contabilidade,EDILSON PAULO,VERA LUCIA CRUZ
interacao de atomos com superficies e campos externos.,MARCOS CESAR SANTOS ORIA,MARTINE PATRICIA ARLTTE CHEVROLLER
governanca corporativa e assimetria de informacao no mercado brasileiro de capitais,JOSE JASSUIPE DA SILVA MORAIS,ROMMEL DE SANTANA FREIRE
analise da evidenciacao contabil das empresas familiares brasileiras,WENNER GLAUCIO LOPES LUCENA,JOSE JASSUIPE DA SILVA MORAIS
analise macroeconomica das demonstracoes financeiras e desempenho de empresas listadas na bm&fbovespa: estimacoes por modelos econometricos,ADRIANO NASCIMENTO DA PAIXAO,IGNACIO TAVARES DE ARAUJO JUNIOR
comportamento de risco dos jovens em joao pessoa,SINEZIO FERNANDES MAIA,EDILEAN KLEBER DA SILVA BEJARANO ARAGON
mudancas estruturais na funcao de reacao do banco central do brasil no periodo de metas de inflacao,PAULO AGUIAR DO MONTE,MERCIA SANTOS DA CRUZ
desempenho e evolucao do setor exportador paraibano,EDILEAN KLEBER DA SILVA BEJARANO ARAGON,MAGNO VAMBERTO BATISTA DA SILVA
conjuntura recente do mercado de trabalho brasileiro,SINEZIO FERNANDES MAIA,ADRIANO FIRMINO VALDEVINO DE ARAUJO
economia do turismo na paraiba: possiveis cenarios e impactos,SINEZIO FERNANDES MAIA,ADRIANO NASCIMENTO DA PAIXAO
"a dinamica do emprego industrial nos estados das regioes sudeste e sul do brasil, no periodo de 1994-2010.",SINEZIO FERNANDES MAIA,MARCIA BATISTA DA FONSECA
a organizacao da producao e do trabalho na agricultura familiar paraibana (1995-2006),MARCIA BATISTA DA FONSECA,ADRIANO FIRMINO VALDEVINO DE ARAUJO
analise nao linear e calculo das variacoes,FAGNER DIAS ARARUNA,UBERLANDIO BATISTA SEVERO
estudos de interacoes fundamentais em superficie e difusao de fotons em um vapor atomico ressonante,MARCOS CESAR SANTOS ORIA,THIERRY MARCELINO PASSERAT DE SILANS
percepcao ambiental dos agentes em relacao ao estuario do rio paraiba,IVAN TARGINO MOREIRA,ADRIANO FIRMINO VALDEVINO DE ARAUJO
diagnostico e valoracao de servicos ambientais das areas de mangue do estuario do rio paraiba,MARCIA BATISTA DA FONSECA,IVAN TARGINO MOREIRA
estrategias de conservacao ambiental: certificacao ambiental e pagamento pelos servicos ambientais do parque estadual da areia vermelha,IVAN TARGINO MOREIRA,ANA CANDIDA FERREIRA VIEIRA
a arquitetura neocolonial na paisagem urbana de joao pessoa no seculo xx,JOSE AUGUSTO RIBEIRO DA SILVEIRA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
a morfologia da arquitetura franciscana no nordeste do brasil colonial,JOSE AUGUSTO RIBEIRO DA SILVEIRA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
a casa contemporanea brasileira,JOSE AUGUSTO RIBEIRO DA SILVEIRA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
"urban sprawl, padroes de dispersao e fragmentacao: estudo sobre a periferizacao e dinamica das bordas intraurbanas na cidade de joao pessoa-pb, brasil.",MARCIO COTRIM CUNHA,MARIA BERTHILDE DE BARROS LIMA E MOURA FILHA
"quadro da arquitetura residencial em joao pessoa: historia, forma e modo de morar",MARCIO COTRIM CUNHA,JOSE AUGUSTO RIBEIRO DA SILVEIRA
estudo de mobilidade urbana e transporte nao-motorizado,ALUISIO BRAZ DE MELO,SOLANGE MARIA LEDER
avaliacao do desempenho termico de paredes executadas com diferentes materiais em condicoes variaveis de oscilacoes de temperaturas superficiais,ANGELINA DIAS LEAO COSTA,SOLANGE MARIA LEDER
caos quantico e universalidade em nanoestruturas,PAULO SERGIO RODRIGUES DA SILVA,DIONISIO BAZEIA FILHO
o potencial das estatisticas vitais para a construcao de indicadores de mortalidade e de natalidade no semiarido brasileiro,HELOISA HELENA PINHO VELOSO,WENNER GLAUCIO LOPES LUCENA
caracterizacao e expectativas dos grupos de pesquisa em inteligencia organizacional: formacao de redes de cooperacao,MARCKSON ROBERTO FERREIRA DE SOUSA,MARCIA VERONICA COSTA MIRANDA
acao de pesquisa - ensino - extensao no laboratorio de tecnologias intelectuais - lti,IZABEL FRANCA DE LIMA,GUILHERME ATAIDE DIAS
analise de sistema de gerenciamento de conteudo,EMEIDE NOBREGA DUARTE,MARCIA VERONICA COSTA MIRANDA
acesso a fontes de informacao indigena na internet: em foco os periodicos da area de antropologia.,IZABEL FRANCA DE LIMA,GUILHERME ATAIDE DIAS
avaliacao de websites de editoras universitarias do nordeste na perspectiva dos estudos de usabilidade e arquitetura da informacao,ELIANE BEZERRA PAIVA,GUILHERME ATAIDE DIAS
investigando as publicacoes ampliadas no cenario cientifico brasileiro,ELIANE BEZERRA PAIVA,IZABEL FRANCA DE LIMA
seguranca em arquivos digitais: um estudo sobre protecao e criptografia em arquivos digitais,EMEIDE NOBREGA DUARTE,ISA MARIA FREIRE
estudo sobre certificados digitais,EMEIDE NOBREGA DUARTE,EDVALDO CARVALHO ALVES
analise filmica e recepcao critica de audiovisuais,MARCOS ANTONIO NICOLAU,MARCEL VIEIRA BARRETO SILVA
flutuacoes eletronicas em sinais medicos,EUGENIO RAMOS BEZERRA DE MELO,JORGE GABRIEL GOMES DE SOUZA RAMOS
"implantacao do sistema de gerenciamento de conteudos pkp para portal de sites de encontros e congressos, com sistema de anais e para producao experimental de livros digitais",MARCEL VIEIRA BARRETO SILVA,VALDECIR BECKER
estrutura narrativa de ficcao seriada,MARCOS ANTONIO NICOLAU,VALDECIR BECKER
infograficos interativos no processo de tratamento de informacao no webjornalismo,ALISSON VASCONCELOS DE BRITO,JOSE MARCILIO FILGUEIRAS CRUZ
processo de producao do conhecimento no servico social da decada de 1990: uma analise a partir da hegemonia do legado da modernidade a emersao da pos-modernidade,CLAUDIA MARIA COSTA GOMES,MARIA DE FATIMA LEITE GOMES
conceito e critica: o novo-desenvolvimentismo na america latina,BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA,MARIA DE FATIMA LEITE GOMES
a acao em rede como estrategia de gestao na politica municipal de assistencia social em joao pessoa: o papel das  entidades nao-governamentais,BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA,ALINE MARIA BATISTA MACHADO
o estado da arte sobre educacao popular na pos-graduacao do nordeste: servico social e educacao (1980- 2010),BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA,MARIA DE FATIMA LEITE GOMES
investigacoes propedeuticas de logica medieval,ROBSON COSTA CORDEIRO,FRANCISCO DE ASSIS VALE CAVALCANTE FILHO
linguagem e poesia no pensamento de martin heidegger,ANDERSON DARC FERREIRA,MIGUEL ANTONIO DO NASCIMENTO
"a questao do sujeito e a teoria dos interesses cognitivos no contexto da obra ""conhecimento e interesse""",ANDERSON DARC FERREIRA,JORGE ADRIANO LUBENOW
biocatalise assimetrica mediada por celulas integras de micro-organismos vivos e enzimas isoladas,RODRIGO CRISTIANO,SAVIO MOITA PINHEIRO
a filosofia politica na teoria critica do jovem habermas,ANDERSON DARC FERREIRA,BARTOLOMEU LEITE DA SILVA
"praticas de consumo, sociabilidades e construcao de identidades entre jovens adolescentes de segmentos sociais de baixa renda na cidade de joao pessoa",ROBERTO VERAS DE OLIVEIRA,TERESA CRISTINA FURTADO MATOS
sem reservas: um estudo da juventude indigena  truka,ROBERTO VERAS DE OLIVEIRA,MAURICIO SARDA DE FARIA
"suape, o novo desenvolvimentismo e os conflitos do trabalho",TERESA CRISTINA FURTADO MATOS,SIMONE MAGALHAES BRITO
"cancao popular brasileira, autoria, autonomia no contexto do atlantico negro",ANDERSON MOEBUS RETONDAR,MAURICIO SARDA DE FARIA
trajetorias e expectativas de formacao dos jovens de alhandra/pb,ROBERTO VERAS DE OLIVEIRA,MAURICIO SARDA DE FARIA
"crescimento ou desenvolvimento? o adensamento industrial no polo goiana, territorio da zona da mata norte de pernambuco e zona da mata sul da paraiba.",ANDERSON MOEBUS RETONDAR,TERESA CRISTINA FURTADO MATOS
homicidios afetivo-conjugais sob a lente dos operadores juridicos: uma analise sociologica,LORELEY GOMES GARCIA,JOSE FRANCISCO DE MELO NETO
nocoes de justica nos casos de homicidio afetivo-conjugal: o que dizem os juizes leigos?,LORELEY GOMES GARCIA,TERESA CRISTINA FURTADO MATOS
"medicina e adoecimento genetico: estudo sobre o desenvolvimento da genetica e anemia falciforme na paraiba, brasil.",FABIO MURA,JOAO MARTINHO BRAGA DE MENDONCA
aplicacao de compostos de ions lantanideos atuando como catalisadores em reacoes organicas,RODRIGO CRISTIANO,SAVIO MOITA PINHEIRO
"identidade, tradicao de conhecimento e ecologia domestica no nordeste indigena: os potiguara como caso especifico ? terceira etapa (final)",EDNALVA MACIEL NEVES,JOAO MARTINHO BRAGA DE MENDONCA
"acervos, memorias e antropologia visual: dialogo e conhecimento das imagens na regiao de rio tinto - pb",MAURO GUILHERME PINHEIRO KOURY,PEDRO FRANCISCO GUEDES DO NASCIMENTO
transito no corpo e na cidade: o processo transexualizador em joao pessoa/pb,MAURO GUILHERME PINHEIRO KOURY,MARIA PATRICIA LOPES GOLDFARB
"balanco comparativo da producao da ufpb campus i sobre a cidade de joao pessoa, capital do estado da paraiba, 1992-2012",MONICA LOURDES FRANCH GUTIERREZ,PEDRO FRANCISCO GUEDES DO NASCIMENTO
"saude, familia e politicas publicas: uma investigacao da persistencia do discurso sobre a relacao entre pobreza e natalidade",JOAO MARTINHO BRAGA DE MENDONCA,MONICA LOURDES FRANCH GUTIERREZ
os ciganos no estado da paraiba,JOAO MARTINHO BRAGA DE MENDONCA,MONICA LOURDES FRANCH GUTIERREZ
"do lado de ca e do lado de la: culturas historicas, intelectuais antirracistas e narrativas do colonialismo no atlantico negro (1950-1988).",TELMA CRISTINA DELGADO D FERNANDES,CARLA MARY DA SILVA OLIVEIRA
memoria operaria e cultura anarquista na paraiba (1870-1930),SOLANGE PEREIRA DA ROCHA,CARLA MARY DA SILVA OLIVEIRA
historia e literatura nos anos 1970: um olhar sobre uma producao cultural a partir de uma perspectiva das esteticas da existencia.,ELIO CHAVES FLORES,GILVANILDO OLIVEIRA AVELINO
a ditadura militar na paraiba: os anos de chumbo (1969-1974),SERIOJA RODRIGUES CORDEIRO MARIANO,SOLANGE PEREIRA DA ROCHA
materiais organicos funcionais com caracteristicas ionicas e nanoestruturais,JULIANA ALVES VALE,PETRONIO FILGUEIRAS DE ATHAYDE FILHO
culturas politicas e redes familiares na paraiba oitocentista,SOLANGE PEREIRA DA ROCHA,CARLA MARY DA SILVA OLIVEIRA
gente negra no nordeste oitocentista: arranjos familiares e redes de sociabilidades,PAULO GIOVANI ANTONINO NUNES,CARLA MARY DA SILVA OLIVEIRA
pedro americo: de menino do brejo a doutor em bruxelas (trajetoria escolar e formacao intelectual de um pintor de historia no brasil oitocentista),SERIOJA RODRIGUES CORDEIRO MARIANO,SOLANGE PEREIRA DA ROCHA
"os franciscanos e a pedagogia serafica: primeiras letras, catequese e moral crista no brasil (seculos xviii e xix)",GILVANILDO OLIVEIRA AVELINO,SERIOJA RODRIGUES CORDEIRO MARIANO
a explicacao da inteligencia emocional a partir das praticas parentais e tracos da personalidade,VALDINEY VELOSO GOUVEIA,CARLA ALEXANDRA DA SILVA MOITA MINERVINO
"correlatos eletrofisiologicos da memoria similar a episodica em ratos: possiveis diferencas nas codificacoes pelo giro denteado, ca3 e cortex perirrinal",LIANA CLEBIA DE MORAIS PORDEUS,NATANAEL ANTONIO DOS SANTOS
construcao e validacao de um banco de expressoes faciais tridimensional,FLAVIO FREITAS BARBOSA,NATANAEL ANTONIO DOS SANTOS
"efeitos da dessincronizacao interna na cognicao, memoria e ritmicidade circadiana de ratos",FABIOLA DE SOUSA BRAZ AQUINO,NATANAEL ANTONIO DOS SANTOS
comportamento punitivo fisico em menores infratores e nao infratores,SILVANA CARNEIRO MACIEL,ANISIO JOSE DA SILVA ARAUJO
preconceito e discriminacao contra imigrantes: o papel legitimador do luso-tropicalismo e da identidade nacional,FLAVIO FREITAS BARBOSA,NATANAEL ANTONIO DOS SANTOS
sintese de novos adutos de morita-baylis-hillman e derivados potenciais candidatos a farmacos antiparasitarios,JULIANA ALVES VALE,PETRONIO FILGUEIRAS DE ATHAYDE FILHO
vulnerabilidades em saude: acesso aos servicos de saude e vulnerabilidades de residentes na capital paraibana,CARLOS EDUARDO PIMENTEL,MARIA DE FATIMA FERNANDES MARTINS CATAO
avaliacao do risco de violencia em reeducandos de presidios paraibanos,JOSEMBERG MOURA DE ANDRADE,VALDINEY VELOSO GOUVEIA
adaptacao e validacao da escala de predicao de risco de violencia grave de genero (epv-r),ANA ALAYDE WERBA SALDANHA PICHELLI,MARIA DE FATIMA FERNANDES MARTINS CATAO
valores humanos e civilidade: um estudo experimental,ANA RAQUEL ROSAS TORRES,SILVANA CARNEIRO MACIEL
valores e tracos de personalidade em psicopatas,ANA RAQUEL ROSAS TORRES,CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA
representacoes sociais sobre o corpo,ANA ALAYDE WERBA SALDANHA PICHELLI,MARIA DE FATIMA FERNANDES MARTINS CATAO
estereotipos sobre a esquizofrenia,ANA RAQUEL ROSAS TORRES,CARMEN WALENTINA AMORIM GAUDENCIO BEZERRA
padroes de cronotipo e tracos de personalidade,LIANA CLEBIA DE MORAIS PORDEUS,CARLA ALEXANDRA DA SILVA MOITA MINERVINO
analise de um programa de treinamento em reconhecimento de expressoes faciais,NELSON TORRO ALVES,MELYSSA KELLYANE CAVALCANTI GALDINO
consciencia fonologica e reconhecimento de palavras de aprendizes bilingues e monolingues,NELSON TORRO ALVES,MELYSSA KELLYANE CAVALCANTI GALDINO
sintese de novos heterociclicos com potencialidades biologicas - perspectiva de novos farmacos,CLAUDIO GABRIEL LIMA JUNIOR,SAVIO MOITA PINHEIRO
modalidades de avaliacao e intervencao psicopedagogica realizadas por psicologos em contextos escolares: um estudo exploratorio,FLAVIO FREITAS BARBOSA,PATRICIA NUNES DA FONSECA
acoes de psicologos(as) sobre a inclusao escolar: um estudo na secretaria de educacao do municipio.,THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,PATRICIA NUNES DA FONSECA
analise da atividade de trabalhadores de unidades de saude da familia,ANISIO JOSE DA SILVA ARAUJO,PAULO CESAR ZAMBRONI DE SOUZA
ser humano/projeto de vida trabalho e politicas publicas: emocao e consciencia do vivido em contextos de exclusao/inclusao social,ANISIO JOSE DA SILVA ARAUJO,PAULO CESAR ZAMBRONI DE SOUZA
a psicologia do trabalho e das organizacoes no cinema,THAIS AUGUSTA CUNHA DE OLIVEIRA MAXIMO,PAULO CESAR ZAMBRONI DE SOUZA
sociedade de correspondencia e a instrucao publica nos jornais do nordeste no imperio,ANTONIO CARLOS FERREIRA PINHEIRO,MARIA DO SOCORRO NOBREGA QUEIROGA
historia de vida professoral da educadora maria ruth de sousa (1970-1985),ANTONIO CARLOS FERREIRA PINHEIRO,IVONALDO NERES LEITE
permanencias e mudancas na escolarizacao paraibana durante o processo de redemocratizacao do estado brasileiro (1950-1954): a influencia dos ideais norte-americanos no ensino urbano e rural.,MARIA DO SOCORRO NOBREGA QUEIROGA,MARIA LUCIA DA SILVA NUNES
o discurso higienista sobre a infancia em circulacao em impressos paraibanos na primeira republica (1889-1930),FABIANA SENA DA SILVA,JEAN CARLO DE CARVALHO COSTA
quando as mulheres escrevem textos sobre educacao na imprensa da paraiba (decada de 1930),ANTONIO CARLOS FERREIRA PINHEIRO,IVONALDO NERES LEITE
sintese de novos compostos imidazolidinicos e tioimidazolidinicos,JULIANA ALVES VALE,DAYSE DAS NEVES MOREIRA
"educacao, poder local e meio ambiente: um estudo sobre a adocao das politicas de educacao ambiental em municipios do vale do mamanguape-pb",FABIANA SENA DA SILVA,CHARLITON JOSE DOS SANTOS MACHADO
a relacao entre a politica nacional sobre drogas e a educacao: um estudo em municipios do vale do mamanguape-pb,FABIANA SENA DA SILVA,JEAN CARLO DE CARVALHO COSTA
"educacao, educadoras e imprensa na paraiba do seculo xx: o estado novo (1937-1945)",MARIA DO SOCORRO NOBREGA QUEIROGA,LUCIENE CHAVES DE AQUINO
"pensar o nordeste e os seus sujeitos: circulacao de ideias, historia dos intelectuais e educacao no brasil",MARIA ELIZETE GUIMARAES CARVALHO,IVONALDO NERES LEITE
"organizacao escolar e modelos democraticos: uma analise das relacoes entre profissoes, organizacao e comunidade",ALEXANDRE SERGIO SILVA,JOSE CAZUZA DE FARIAS JUNIOR
a escrita na escola na era digital,MARIA ALVES DE AZEREDO,FRANCISCO JOSE PEGADO ABILIO
avaliacao da fluencia de leitura oral de alunos do 7o ano de escolas publicas do municipio de joao pessoa/pb.,MARINEUMA DE OLIVEIRA COSTA CAVALCANTI,MARIA ALVES DE AZEREDO
a mediacao pedagogica das representacoes semioticas no ensino de matematica nos anos iniciais de escolarizacao,MONICA DIAS PALITOT,FRANCISCO JOSE PEGADO ABILIO
curriculo e avaliacao: discursos contemporaneos,ROSE MARY DE SOUZA ARAUJO,ANA CLAUDIA DA SILVA RODRIGUES
analise do conhecimento e comportamentos de cuidado com a sala de aula,EDINEIDE JEZINI MESQUITA,LEBIAM TAMAR GOMES SILVA
desenvolvimento de sistema de gerenciamento de banco de dados de metabolitos secundarios para estudos quimiotaxonomicos,JULIANA ALVES VALE,BRUNO FREITAS LIRA
"movimentos sociais, estado e politicas de educacao do campo: contribuicoes do movimento dos trabalhadores rurais sem terra (mst) para construcao da educacao do campo na paraiba",VIVIANY SILVA ARAUJO PESSOA,EDUARDO ANTONIO DE PONTES COSTA
a formacao docente frente a diversidade,ANA DORZIAT BARBOSA DE MELO,LEBIAM TAMAR GOMES SILVA
institucionalizacao dos estudos de genero nas ies brasileiras do norte e nordeste,EDNA GUSMAO DE GOES BRENNAND,EDUARDO JORGE LOPES DA SILVA
contribuicao das reunioes da redor a producao cientifica sobre relacoes de genero no norte e nordeste brasileiros,VIVIANY SILVA ARAUJO PESSOA,FERNANDO CEZAR BEZERRA DE ANDRADE
"desenvolvimento de modelo de processo para producao de programas educativos interativos para televisao digital, dispositivos moveis e web.",MARIA EULINA PESSOA DE CARVALHO,ANA DORZIAT BARBOSA DE MELO
os desafios do acesso e da permanencia na educacao superior no contexto das politicas de inclusao social,ANA DORZIAT BARBOSA DE MELO,EDUARDO ANTONIO DE PONTES COSTA
unidade de educacao infantil para surdos (ueis):  um caminho a ser trilhado na cidade de joao pessoa/pb,EDNA GUSMAO DE GOES BRENNAND,EDUARDO ANTONIO DE PONTES COSTA
analise de efeitos da participacao em programa para formacao de habilidades sociais educativas sobre a dimensao desiderativa de licenciandos da universidade federal da paraiba,VIVIANY SILVA ARAUJO PESSOA,LEBIAM TAMAR GOMES SILVA
problematizando discursos e praticas de educacao e trabalho,EDINEIDE JEZINI MESQUITA,PATRICIA NUNES DA FONSECA
modos de subjetivacao nos atravessamentos da formacao continuada,VIVIANY SILVA ARAUJO PESSOA,PATRICIA NUNES DA FONSECA
equacoes diferenciais aplicadas em vigas e fluidos,JOAO MARCOS BEZERRA DO O,UBERLANDIO BATISTA SEVERO
espectroscopia de reonancia magnetica nuclear aplicada na avaliacao da qualidade de oleos utilizados como alimentos nutraceuticos,RODRIGO CRISTIANO,MARIO LUIZ ARAUJO DE ALMEIDA VASCONCELLOS
os valores humanos como preditores das atitudes frente a escola e dos comportamentos antissociais,EDINEIDE JEZINI MESQUITA,ANA CLAUDIA DA SILVA RODRIGUES
educacao popular e visualidade: investigando a imagem na ordem do discurso pedagogico freireano,MARIA EULINA PESSOA DE CARVALHO,EDUARDO ANTONIO DE PONTES COSTA
cultura academica e tecnologias intelectuais,MARIA EULINA PESSOA DE CARVALHO,ERENILDO JOAO CARLOS
participac?a?o poli?tica: novos arranjos entre estado e tics na parai?ba,SAMIR PERRONE DE MIRANDA,JOSE HENRIQUE ARTIGAS DE GODOY
politica externa do governo dilma rousseff para a america do sul: continuidades e rupturas,JAMES BATISTA VIEIRA,MARCELO BURGOS PIMENTEL DOS SANTOS
o segundo governo bachelet e o sistema partidario do chile,SAMIR PERRONE DE MIRANDA,XAMAN KORAI PINHEIRO MINILLO
a construcao social da legalidade na administracao publica federal: direito e desenvolvimento no brasil,RODRIGO FREIRE DE CARVALHO E SILVA,JOSE HENRIQUE ARTIGAS DE GODOY
o brasil e as grandes potencias no tabuleiro sul-americano: cooperacao e balanceamento no entorno estrategico brasileiro,HENRIQUE ZEFERINO DE MENEZES,MARCOS ALAN SHAIKHZADEH VAHDAT FERREIRA
economia politica dos objetivos de desenvolvimento do milenio das nacoes unidas,AUGUSTO WAGNER MENEZES TEIXEIRA JUNIOR,THIAGO LIMA DA SILVA
o desafio da paz na america do sul: as perspectivas de entidades de analise de conflitos e a atuacao da unasul frente aos litigios potenciais,HENRIQUE ZEFERINO DE MENEZES,THIAGO LIMA DA SILVA
sintese de novas tetrazolas bioisostericas de acidos carboxilicos tetraidropiranilicos de forte atividades analgesicas,CLAUDIO GABRIEL LIMA JUNIOR,MARCUS TULLIUS SCOTTI
fome e relacoes internacionais: uma agenda de pesquisa necessaria para o brasil,AUGUSTO WAGNER MENEZES TEIXEIRA JUNIOR,HENRY IURE DE PAIVA SILVA
